Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",22y 124d,43 (7-0-36 16.28%),31 (0.72),←,
15,"Anderson, Noah",19y 117d,2 (1-0-1 50.00%),1 (0.50),←,
10,"Ballard, Charlie",20y 326d,33 (5-0-28 15.15%),1 (0.03),←,
3,"Bowes, Jack",22y 139d,44 (9-0-35 20.45%),12 (0.27),←,
35,"Budarick, Connor",19y 68d,2 (1-0-1 50.00%),,←,
25,"Collins, Sam",25y 364d,25 (7-0-18 28.00%),,11 (4-0-7 36.36%),
12,"Day, Sam",27y 281d,122 (33-1-88 27.46%),87 (0.71),←,
8,"Fiorini, Brayden",22y 296d,49 (10-0-39 20.41%),16 (0.33),←,
21,"Greenwood, Hugh",28y 99d,53 (31-1-21 59.43%),37 (0.70),2 (1-0-1 50.00%),1 (0.50)
1,"Hanley, Pearce",31y 211d,162 (45-0-117 27.78%),60 (0.37),33 (7-0-26 21.21%),2 (0.06)
5,"Harbrow, Jarrod",31y 331d,246 (85-2-159 34.96%),54 (0.22),176 (45-1-130 25.85%),33 (0.19)
39,"Holman, Nick",25y 15d,45 (9-0-36 20.00%),22 (0.49),36 (8-0-28 22.22%),22 (0.61)
34,"King, Ben",19y 342d,16 (1-0-15 6.25%),19 (1.19),←,
23,"Lemmens, Sean",25y 224d,89 (23-1-65 26.40%),23 (0.26),←,
13,"Lukosius, Jack",19y 309d,23 (4-0-19 17.39%),4 (0.17),←,
44,"Macpherson, Darcy",22y 228d,41 (7-0-34 17.07%),22 (0.54),←,
11,"Miller, Touk",24y 112d,102 (21-1-80 21.08%),28 (0.27),←,
27,"Powell, Wil",20y 292d,21 (5-0-16 23.81%),9 (0.43),←,
18,"Rowell, Matt",18y 348d,2 (1-0-1 50.00%),2 (1.00),←,
6,"Sexton, Alex",26y 193d,120 (29-0-91 24.17%),110 (0.92),←,
14,"Weller, Lachie",24y 111d,88 (21-0-67 23.86%),24 (0.27),41 (7-0-34 17.07%),7 (0.17)
28,"Witts, Jarrod",27y 274d,104 (32-0-72 30.77%),25 (0.24),64 (14-0-50 21.88%),7 (0.11)
Totals,Totals,24y 3d,1432 (387-6-1039 27.03%),587 (0.41),,
C,"Dew, Stuart",40y 300d,46 (8-0-38 17.39%),,←,
