Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
24,"Amiss, Jye",19y 356d,20 (9-0-11 45.00%),36 (1.80),←,
8,"Brayshaw, Andrew",23y 256d,118 (53-1-64 45.34%),42 (0.36),←,
6,"Clark, Jordan",22y 279d,74 (44-1-29 60.14%),19 (0.26),42 (23-1-18 55.95%),4 (0.10)
19,"Corbett, Josh",27y 90d,38 (7-1-30 19.74%),33 (0.87),2 (0-0-2 0.00%),
28,"Erasmus, Neil",19y 232d,14 (6-0-8 42.86%),1 (0.07),←,
32,"Frederick, Michael",23y 66d,53 (30-1-22 57.55%),56 (1.06),←,
21,"Hamling, Joel",30y 104d,89 (40-0-49 44.94%),,66 (24-0-42 36.36%),
23,"Henry, Liam",21y 328d,38 (13-1-24 35.53%),13 (0.34),←,
15,"Hughes, Ethan",28y 227d,99 (40-0-59 40.40%),6 (0.06),←,
9,"Jackson, Luke",21y 296d,70 (44-1-25 63.57%),49 (0.70),18 (7-0-11 38.89%),19 (1.06)
44,"Johnson, Matthew",20y 128d,14 (5-0-9 35.71%),2 (0.14),←,
2,"OMeara, Jaeger",29y 149d,160 (70-2-88 44.38%),76 (0.47),17 (7-0-10 41.18%),6 (0.35)
25,"Pearce, Alex",28y 43d,102 (47-1-54 46.57%),4 (0.04),←,
13,"Ryan, Luke",27y 166d,127 (58-1-68 46.06%),3 (0.02),←,
5,"Schultz, Lachie",25y 234d,85 (40-1-44 47.65%),91 (1.07),←,
3,"Serong, Caleb",22y 163d,75 (38-1-36 51.33%),19 (0.25),←,
46,"Stanley, Ethan",19y 251d,1 (0-0-1 0.00%),,←,
1,"Sturt, Sam",23y 71d,13 (5-0-8 38.46%),13 (1.00),←,
39,"Switkowski, Sam",26y 244d,63 (31-0-32 49.21%),39 (0.62),←,
35,"Treacy, Josh",20y 352d,31 (17-0-14 54.84%),26 (0.84),←,
34,"Wagner, Corey",26y 121d,23 (3-0-20 13.04%),6 (0.26),4 (1-0-3 25.00%),
10,"Walters, Michael",32y 196d,218 (108-2-108 50.00%),344 (1.58),←,
26,"Young, Hayden",22y 102d,52 (26-1-25 50.96%),2 (0.04),←,
Totals,Totals,24y 194d,1577 (734-15-828 46.54%),880 (0.56),,
C,"Longmuir, Justin",42y 182d,79 (38-1-40 48.73%),,←,
