Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Cameron, Leon",17,4,10,27,2,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,
32,"Ellis, Craig",2,2,,2,,,,,,,,,,,,,,,,,,,
3,"Grant, Chris",16,13,6,22,1,4.0,,2.0,,,,,1.0,1.0,3.0,,,,,,,,
1,"Grgic, Ilija",14,5,7,21,3,3.0,7.0,1.0,,,,,2.0,,,,,,,,,,
7,"Hawkins, Doug",7,2,5,12,,,,1.0,,,,,,,,,,,,,,,
10,"Hunter, Mark",18,4,9,27,,,,2.0,,,,,2.0,1.0,,,,,,,,,
21,"Kolyniuk, Steven",12,1,7,19,,,,1.0,,,,,,2.0,,,,,,,,,
12,"Koster, Kym",10,1,6,16,1,,,2.0,,,,,1.0,2.0,,,,,,,,,
35,"Kretiuk, Steven",12,11,8,20,,,,3.0,,,,,,1.0,,,,,,,,,
39,"Liberatore, Tony",17,2,6,23,,,,6.0,,,,,6.0,2.0,2.0,,,,,,,,
9,"Nicholson, Brad",6,2,6,12,,,,2.0,,,,,3.0,4.0,,,,,,,,,
44,"Osborne, Richard",5,2,3,8,,1.0,,,,,,,,,,,,,,,,,
22,"Quill, Peter",8,1,1,9,,,,,,,,,,2.0,,,,,,,,,
34,"Sexton, Ben",6,1,5,11,,,,2.0,,,,,,1.0,,,,,,,,,
8,"Southern, Daniel",3,5,6,9,,,,,,,,,1.0,1.0,,,,,,,,,
17,"Standfield, Barry",10,4,8,18,1,1.0,8.0,1.0,,,,,4.0,1.0,,,,,,,,,
29,"Thorpe, Alan",13,6,4,17,4,1.0,,,,,,,1.0,2.0,,,,,,,,,
24,"Wallis, Stephen",7,2,7,14,,,,2.0,,,,,,1.0,,,,,,,,,
25,"Watts, Jason",7,2,6,13,,,,,,,,,,,,,,,,,,,
28,"West, Robert",4,2,4,8,,,,1.0,,,,,,2.0,,,,,,,,,
14,"West, Scott",5,2,5,10,,,,,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,74,119,318,12,14.0,16.0,28.0,,,,,23.0,24.0,5.0,,,,,,,,
Opposition,Opposition,160,49,147,307,7,7.0,13.0,23.0,,,,,24.0,23.0,1.0,,,,,,,,
