St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
40,"Allen, Tim",7,5,8,15,1.0,1.0,,,,,,,1.0,2.0,,,,,,,,,
18,"Bowey, Brett",7,2,7,14,3.0,,,1.0,,,,,1.0,,,,,,,,,,
29,"Burke, Nathan",20,5,15,35,,,,3.0,,,,,2.0,,,,,,,,,,
15,"Coghlan, Frank",10,2,9,19,5.0,1.0,,1.0,,,,,4.0,2.0,,,,,,,,,
44,"Devonport, Craig",6,2,3,9,2.0,,,,,,,,,,,,,,,,,,
20,"Dwyer, Mick",7,2,8,15,3.0,,,1.0,,,,,,,,,,,,,,,
2,"Frawley, Danny",11,2,8,19,,,,3.0,,,,,2.0,2.0,,,,,,,,,
6,"Grant, David",17,12,13,30,,1.0,,1.0,,,,,2.0,1.0,3.0,,,,,,,,
27,"Greig, Dean",9,2,18,27,,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
10,"Harding, Paul",6,6,8,14,,,,,,,,,,,,,,,,,,,
35,"Harvey, Robert",5,1,12,17,,,,,,,,,,,,,,,,,,,
23,"Loewe, Stewart",12,8,2,14,7.0,2.0,9.0,3.0,,,,,2.0,1.0,,,,,,,,,
5,"McAdam, Gilbert",20,9,10,30,,,,1.0,,,,,1.0,,,,,,,,,,
12,"Morris, Russell",11,4,8,19,,2.0,,1.0,,,,,2.0,1.0,,,,,,,,,
1,"Newport, Stephen",2,1,3,5,,,,,,,,,,,,,,,,,,,
41,"Pekin, Tim",17,7,15,32,2.0,,,2.0,,,,,1.0,,1.0,,,,,,,,
37,"Rice, Dean",13,6,7,20,1.0,1.0,,4.0,,,,,1.0,,,,,,,,,,
26,"Taylor, Kain",14,8,11,25,,,,1.0,,,,,,2.0,,,,,,,,,
50,"Vidovic, Lazar",11,7,6,17,,,22.0,1.0,,,,,3.0,2.0,,,,,,,,,
7,"Winmar, Nicky",16,2,13,29,3.0,3.0,,2.0,,,,,,,2.0,,,,,,,,
Totals,Totals,221,93,184,405,27.0,12.0,31.0,26.0,,,,,24.0,15.0,6.0,,,,,,,,
Opposition,Opposition,193,53,154,347,7.0,12.0,12.0,21.0,,,,,15.0,24.0,,,,,,,,,
