Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
39,"Bailey, Max",7,3,3,10,,,26.0,4.0,3.0,1.0,3.0,2.0,,1.0,,6.0,2.0,2.0,,3.0,,,73.0
10 ↓,"Bateman, Chance",5,2,4,9,,,,1.0,,3.0,,2.0,,1.0,,,10.0,,,,,,50.0
14,"Birchall, Grant",9,7,7,16,,,,2.0,3.0,,,,1.0,,,2.0,14.0,,,2.0,,,81.0
47,"Breust, Luke",8,5,8,16,2,,,1.0,,3.0,2.0,4.0,,1.0,,9.0,7.0,,2.0,4.0,,1.0,87.0
9,"Burgoyne, Shaun",12,4,9,21,,3.0,,2.0,,3.0,3.0,3.0,,1.0,,7.0,14.0,1.0,,1.0,1.0,,83.0
13,"Cheney, Kyle",3,5,15,18,,,,,1.0,1.0,,2.0,,1.0,,2.0,17.0,,,2.0,,,86.0
23,"Franklin, Lance",7,3,10,17,1,1.0,,1.0,1.0,1.0,1.0,3.0,,2.0,,4.0,14.0,1.0,1.0,1.0,1.0,1.0,91.0
6,"Gibson, Josh",11,4,6,17,,,,,4.0,,,1.0,1.0,1.0,,2.0,15.0,,,11.0,,,97.0
18,"Guerra, Brent",7,6,3,10,,,,5.0,,,1.0,5.0,,1.0,,4.0,6.0,,,3.0,,,81.0
20,"Hale, David",5,6,11,16,1,,10.0,4.0,1.0,1.0,,3.0,,1.0,,9.0,7.0,3.0,1.0,3.0,,,82.0
15,"Hodge, Luke",22,7,18,40,,,2.0,2.0,8.0,3.0,7.0,5.0,5.0,1.0,,17.0,21.0,,,2.0,,,87.0
36,"Lisle, Jordan",7,10,3,10,,,,1.0,1.0,,,3.0,,1.0,,2.0,8.0,2.0,,10.0,,,60.0
5,"Mitchell, Sam",21,6,13,34,2,1.0,,4.0,1.0,8.0,3.0,5.0,1.0,,,13.0,22.0,,3.0,,4.0,1.0,94.0
29,"Murphy, Tom",9,7,5,14,,,,5.0,,,1.0,3.0,1.0,2.0,,3.0,10.0,1.0,,2.0,,,96.0
7,"Osborne, Michael",9,8,8,17,,,,1.0,1.0,2.0,1.0,2.0,,1.0,,7.0,12.0,1.0,,3.0,,2.0,83.0
28,"Puopolo, Paul",10,2,16,26,1,2.0,,2.0,,1.0,,,2.0,,,11.0,17.0,,,6.0,,,87.0
21,"Savage, Shane",13,6,8,21,,1.0,,5.0,3.0,2.0,1.0,3.0,,1.0,,4.0,17.0,,,,,,89.0
26,"Shiels, Liam",20,7,8,28,1,,2.0,10.0,1.0,4.0,4.0,6.0,2.0,,,12.0,17.0,1.0,,4.0,1.0,,88.0
16,"Smith, Isaac",6,4,9,15,,,,2.0,,2.0,1.0,2.0,,1.0,,3.0,12.0,,,3.0,2.0,,88.0
31,"Suckling, Matt",21,5,3,24,,,,1.0,9.0,2.0,1.0,4.0,1.0,2.0,,4.0,15.0,,,5.0,5.0,,85.0
37,"Whitecross, Brendan",9,6,8,17,1,,,4.0,,3.0,1.0,2.0,1.0,,,11.0,7.0,1.0,,3.0,,,95.0
11 ↑,"Young, Clinton",9,5,4,13,,2.0,,,1.0,4.0,1.0,1.0,,,,3.0,10.0,,,1.0,1.0,1.0,38.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,230,118,179,409,9,11.0,40.0,57.0,38.0,44.0,31.0,61.0,15.0,19.0,,135.0,274.0,13.0,7.0,69.0,15.0,6.0,
Opposition,Opposition,216,90,170,386,15,16.0,29.0,81.0,31.0,59.0,37.0,43.0,19.0,15.0,6.0,147.0,238.0,10.0,13.0,50.0,26.0,7.0,
