Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Bond, Chris",14,2,4,18,1,,,3.0,,,,,3.0,4.0,,,,,,,,,
22,"Bower, Nathan",7,2,1,8,,1.0,,,,,,,,,,,,,,,,,
17,"Broderick, Paul",12,2,18,30,,1.0,,,,,,,,,3.0,,,,,,,,
21,"Bulluss, Paul",7,5,7,14,,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,,,,
9,"Campbell, Wayne",23,3,5,28,,,,3.0,,,,,2.0,,,,,,,,,,
44,"Daffy, Nick",7,,,7,2,2.0,,,,,,,,4.0,,,,,,,,,
14,"Dear, Greg",7,,7,14,1,,14.0,,,,,,5.0,3.0,,,,,,,,,
30,"Free, Tony",16,3,2,18,,,,,,,,,2.0,2.0,,,,,,,,,
25,"Gale, Brendon",8,6,6,14,1,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,
11,"Gale, Michael",8,4,8,16,,,,3.0,,,,,1.0,1.0,,,,,,,,,
31,"Howat, John",1,1,2,3,,,,,,,,,,,,,,,,,,,
3,"Kellaway, Duncan",4,1,3,7,,,,,,,,,1.0,1.0,,,,,,,,,
33,"Knights, Matthew",12,2,6,18,1,1.0,,4.0,,,,,2.0,1.0,,,,,,,,,
26,"Leys, Brian",2,,3,5,,,,,,,,,1.0,3.0,,,,,,,,,
27,"Maxfield, Stuart",13,3,3,16,1,,,4.0,,,,,2.0,2.0,,,,,,,,,
34,"Murphy, Justin",4,1,2,6,,,,,,,,,,2.0,,,,,,,,,
6,"Naish, Chris",8,1,6,14,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
12,"Richardson, Matthew",6,4,3,9,3,2.0,,,,,,,1.0,1.0,,,,,,,,,
4,"Rogers, Matthew",10,2,1,11,3,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,
5,"Tape, Jamie",8,6,7,15,,,,1.0,,,,,,,,,,,,,,,
41,"Turner, Scott",7,3,2,9,,,,1.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,184,51,96,280,14,11.0,18.0,22.0,,,,,27.0,29.0,4.0,,,,,,,,
Opposition,Opposition,185,70,83,268,9,8.0,20.0,23.0,,,,,29.0,27.0,2.0,,,,,,,,
