Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
21,"Barry, Leo",21y 341d,37 (21-0-16 56.76%),29 (0.78),←,
42,"Bennett, Gerrard",20y 16d,3 (1-0-2 33.33%),,←,
17,"Bomford, Andrew",24y 280d,18 (6-0-12 33.33%),6 (0.33),5 (1-0-4 20.00%),1 (0.20)
27,"Chapman, Wade",23y 112d,51 (24-1-26 48.04%),19 (0.37),←,
8,"Cresswell, Daryn",27y 338d,145 (57-1-87 39.66%),114 (0.79),←,
28,"Crouch, Jared",21y 51d,23 (11-0-12 47.83%),4 (0.17),←,
6,"Dunkley, Andrew",30y 300d,146 (59-2-85 41.10%),8 (0.05),←,
26,"Feast, Simon",24y 145d,1 (0-0-1 0.00%),,←,
12,"Fosdike, Nic",19y 58d,1 (0-0-1 0.00%),,←,
37,"Goodes, Adam",19y 107d,5 (1-0-4 20.00%),3 (0.60),←,
14,"Kelly, Paul",29y 271d,181 (64-3-114 36.19%),145 (0.80),←,
34,"Luff, Troy",29y 154d,105 (47-2-56 45.71%),69 (0.66),←,
36,"Mathews, Ben",20y 147d,8 (4-0-4 50.00%),3 (0.38),←,
11,"Maxfield, Stuart",27y 16d,164 (81-2-81 50.00%),95 (0.58),75 (46-1-28 62.00%),30 (0.40)
13,"McPherson, Daniel",23y 294d,50 (28-1-21 57.00%),9 (0.18),←,
23,"Nicks, Matthew",23y 347d,55 (32-0-23 58.18%),20 (0.36),←,
19,"OLoughlin, Michael",22y 64d,85 (49-1-35 58.24%),102 (1.20),←,
25,"Russell, Scott",28y 353d,187 (98-3-86 53.21%),110 (0.59),5 (1-0-4 20.00%),3 (0.60)
22,"Saddington, Jason",19y 184d,27 (14-0-13 51.85%),10 (0.37),←,
2,"Schwass, Wayne",30y 149d,211 (116-0-95 54.98%),122 (0.58),27 (15-0-12 55.56%),25 (0.93)
20,"Stevens, John",27y 314d,46 (27-0-19 58.70%),24 (0.52),←,
33,"Warfe, Rowan",22y 306d,64 (23-0-41 35.94%),2 (0.03),38 (22-0-16 57.89%),1 (0.03)
Totals,Totals,24y 181d,1613 (763-16-834 47.30%),894 (0.55),,
C,"Eade, Rodney",41y 21d,77 (46-1-30 60.39%),,←,
