Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",19y 214d,28 (6-0-22 21.43%),16 (0.57),←,
22,"Bain, David",24y 360d,47 (11-0-36 23.40%),32 (0.68),←,
25,"Campbell, Matthew",27y 87d,50 (12-0-38 24.00%),18 (0.36),←,
1,"Champion, Richard",23y 13d,5 (0-0-5 0.00%),1 (0.20),←,
4,"Gastev, John",26y 259d,73 (28-0-45 38.36%),55 (0.75),43 (11-0-32 25.58%),24 (0.56)
14,"Hamilton, Shane",20y 252d,32 (12-0-20 37.50%),45 (1.41),5 (0-0-5 0.00%),5 (1.00)
5,"Hardie, Brad",28y 199d,133 (50-0-83 37.59%),188 (1.41),86 (22-0-64 25.58%),160 (1.86)
32,"Hart, Shaun",19y 345d,12 (3-0-9 25.00%),2 (0.17),←,
9,"Ishchenko, Alex",27y 7d,65 (24-0-41 36.92%),22 (0.34),35 (8-0-27 22.86%),12 (0.34)
17,"Leslie, Martin",28y 161d,36 (9-0-27 25.00%),3 (0.08),←,
16,"Lester-Smith, Rod",31y 283d,107 (60-1-46 56.54%),37 (0.35),37 (8-0-29 21.62%),14 (0.38)
19,"McLean, Michael",26y 55d,100 (47-2-51 48.00%),23 (0.23),5 (0-0-5 0.00%),
24,"Merrett, Roger",31y 8d,210 (113-2-95 54.29%),228 (1.09),61 (16-0-45 26.23%),80 (1.31)
26,"Noonan, Danny",22y 149d,4 (0-0-4 0.00%),1 (0.25),←,
28,"OBrien, Cameron",24y 211d,38 (12-0-26 31.58%),50 (1.32),37 (12-0-25 32.43%),50 (1.35)
30,"Ryan, Matthew",23y 329d,58 (21-1-36 37.07%),55 (0.95),3 (0-0-3 0.00%),3 (1.00)
42,"Strempel, Shane",22y 96d,2 (0-0-2 0.00%),2 (1.00),←,
46,"Wearne, David",20y 352d,13 (2-0-11 15.38%),2 (0.15),←,
35,"Worsfold, Peter",20y 290d,2 (0-0-2 0.00%),2 (1.00),←,
21,"Zanotti, Mark",26y 170d,73 (25-0-48 34.25%),7 (0.10),37 (8-0-29 21.62%),1 (0.03)
Totals,Totals,24y 302d,1088 (435-6-647 39.98%),789 (0.73),,
C,"Walls, Robert",40y 280d,204 (115-1-88 56.62%),,5 (0-0-5 0.00%),
