Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
21,"Aliir, Aliir",28y 277d,120 (68-0-52 56.67%),5 (0.04),56 (39-0-17 69.64%),
14,"Bergman, Miles",21y 234d,46 (31-0-15 67.39%),13 (0.28),←,
10,"Boak, Travis",34y 312d,337 (176-1-160 52.37%),201 (0.60),←,
26,"Bonner, Riley",26y 94d,90 (58-0-32 64.44%),13 (0.14),←,
9,"Butters, Zak",22y 274d,81 (51-0-30 62.96%),49 (0.60),←,
33,"Byrne-Jones, Darcy",27y 262d,162 (97-0-65 59.88%),15 (0.09),←,
22,"Dixon, Charlie",32y 259d,197 (102-1-94 52.03%),327 (1.66),132 (83-0-49 62.88%),233 (1.77)
28,"Drew, Willem",24y 251d,69 (44-0-25 63.77%),13 (0.19),←,
6,"Farrell, Kane",24y 84d,60 (38-0-22 63.33%),39 (0.65),←,
11,"Finlayson, Jeremy",27y 120d,97 (56-3-38 59.28%),135 (1.39),31 (20-0-11 64.52%),45 (1.45)
18,"Horne-Francis, Jason",19y 353d,30 (13-0-17 43.33%),12 (0.40),13 (11-0-2 84.62%),8 (0.62)
5,"Houston, Dan",26y 28d,134 (86-0-48 64.18%),30 (0.22),←,
34,"Jones, Lachie",21y 61d,26 (15-0-11 57.69%),6 (0.23),←,
29,"Lycett, Scott",30y 256d,141 (92-0-49 65.25%),61 (0.43),66 (44-0-22 66.67%),16 (0.24)
4,"Marshall, Todd",24y 244d,86 (59-0-27 68.60%),120 (1.40),←,
41,"McEntee, Jed",22y 114d,20 (14-0-6 70.00%),15 (0.75),←,
12,"McKenzie, Trent",31y 67d,157 (67-0-90 42.68%),23 (0.15),51 (38-0-13 74.51%),1 (0.02)
2,"Powell-Pepper, Sam",25y 152d,127 (80-0-47 62.99%),87 (0.69),←,
15,"Rioli, Willie",28y 5d,62 (40-0-22 64.52%),74 (1.19),11 (9-0-2 81.82%),14 (1.27)
20,"Rozee, Connor",23y 138d,94 (60-0-34 63.83%),87 (0.93),←,
8,"Sinn, Josh",20y 153d,3 (2-0-1 66.67%),,←,
23,"Williams, Dylan",21y 343d,11 (11-0-0 100.00%),,←,
16,"Wines, Ollie",28y 245d,216 (129-0-87 59.72%),91 (0.42),←,
Totals,Totals,25y 315d,2366 (1389-5-972 58.71%),1416 (0.60),,
C,"Hinkley, Ken",56y 252d,236 (142-0-94 60.17%),,←,
