Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",9,1.0,8.0,17,,,,2.0,,,,,,1.0,,,,,,,,,
25,"Bews, Andrew",7,3.0,9.0,16,,,,1.0,,,,,,,,,,,,,,,
30,"Bourke, Damian",5,1.0,4.0,9,,,10.0,1.0,,,,,,4.0,,,,,,,,,
1,"Champion, Richard",9,1.0,2.0,11,,,,,,,,,,1.0,,,,,,,,,
16,"Clarke, Matthew",3,2.0,3.0,6,,,6.0,,,,,,1.0,,,,,,,,,,
6,"Fletcher, Adrian",13,,12.0,25,1.0,,,2.0,,,,,2.0,1.0,,,,,,,,,
8,"Gowers, Andrew",14,2.0,3.0,17,1.0,,,,,,,,1.0,1.0,,,,,,,,,
14,"Hamilton, Shane",9,2.0,2.0,11,,,,,,,,,1.0,,,,,,,,,,
32,"Hart, Shaun",10,3.0,5.0,15,,1.0,,,,,,,1.0,,,,,,,,,,
44,"Lappin, Nigel",6,2.0,6.0,12,,,,2.0,,,,,1.0,,,,,,,,,,
23,"Leppitsch, Justin",9,2.0,5.0,14,,,,2.0,,,,,1.0,,,,,,,,,,
11,"Lynch, Alastair",6,5.0,5.0,11,2.0,,,1.0,,,,,1.0,1.0,,,,,,,,,
28,"Lyon, Ross",6,1.0,6.0,12,,,,1.0,,,,,3.0,1.0,,,,,,,,,
2,"McAdam, Gilbert",13,3.0,5.0,18,1.0,,,1.0,,,,,1.0,2.0,,,,,,,,,
7,"McIvor, Scott",9,2.0,8.0,17,1.0,,,3.0,,,,,2.0,2.0,,,,,,,,,
19,"McLean, Michael",11,1.0,4.0,15,,,,2.0,,,,,1.0,2.0,,,,,,,,,
4,"McRae, Craig",9,2.0,6.0,15,2.0,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,
24,"Merrett, Roger",7,2.0,,7,3.0,1.0,,,,,,,3.0,3.0,,,,,,,,,
22,"Scott, Chris",4,2.0,8.0,12,,,,1.0,,,,,1.0,1.0,,,,,,,,,
9,"Starcevich, Craig",5,4.0,9.0,14,,,,1.0,,,,,,3.0,,,,,,,,,
3,"Voss, Michael",13,4.0,13.0,26,,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,177,45.0,123.0,300,11.0,4.0,16.0,21.0,,,,,21.0,25.0,,,,,,,,,
Opposition,Opposition,214,82.0,98.0,312,20.0,7.0,19.0,33.0,,,,,25.0,21.0,6.0,,,,,,,,
