Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",21y 189d,37 (14-1-22 39.19%),21 (0.57),←,
35,"Baxter, Darren",25y 103d,83 (37-2-44 45.78%),10 (0.12),←,
18,"Cameron, Leon",17y 301d,12 (7-0-5 58.33%),6 (0.50),←,
20,"Coleman, Glenn",29y 147d,136 (74-1-61 54.78%),79 (0.58),11 (6-0-5 54.55%),15 (1.36)
26,"Del-Re, Danny",22y 138d,6 (3-0-3 50.00%),6 (1.00),←,
12,"Eppelstun, Greg",23y 226d,72 (35-1-36 49.31%),1 (0.01),←,
32,"Foster, Peter",30y 28d,119 (63-2-54 53.78%),50 (0.42),112 (60-2-50 54.46%),48 (0.43)
29,"Grant, Chris",17y 199d,13 (7-0-6 53.85%),37 (2.85),←,
7,"Hawkins, Doug",30y 56d,235 (93-3-139 40.21%),112 (0.48),←,
43,"Hogg, Matthew",21y 191d,46 (18-1-27 40.22%),4 (0.09),←,
8,"Kennedy, Rick",29y 201d,145 (61-2-82 42.76%),34 (0.23),←,
21,"Kolyniuk, Steven",19y 360d,23 (11-1-11 50.00%),20 (0.87),←,
39,"Liberatore, Tony",24y 139d,31 (18-0-13 58.06%),20 (0.65),←,
11,"McGuinness, Tony",26y 55d,100 (45-2-53 46.00%),96 (0.96),←,
14,"Reynolds, Keenan",21y 174d,9 (6-0-3 66.67%),1 (0.11),←,
33,"Royal, Brian",28y 200d,150 (78-2-70 52.67%),190 (1.27),←,
16,"Wallace, Terry",31y 199d,241 (142-2-97 59.34%),119 (0.49),56 (24-1-31 43.75%),16 (0.29)
24,"Wallis, Stephen",25y 246d,158 (80-2-76 51.27%),40 (0.25),←,
6,"Wigney, Stuart",21y 72d,35 (15-1-19 44.29%),14 (0.40),←,
15,"Wynd, Scott",20y 156d,32 (13-0-19 40.63%),6 (0.19),←,
Totals,Totals,24y 151d,1683 (820-23-840 48.72%),866 (0.51),,
C,"Wheeler, Terry",35y 109d,13 (7-0-6 53.85%),,←,
