Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
35,"Bond, Chris",27y 219d,100 (48-1-51 48.50%),37 (0.37),78 (40-1-37 51.92%),29 (0.37)
32,"Bourke, David",20y 236d,34 (21-0-13 61.76%),3 (0.09),←,
11,"Bowden, Joel",18y 72d,5 (3-0-2 60.00%),4 (0.80),←,
17,"Broderick, Paul",26y 242d,162 (78-1-83 48.46%),119 (0.73),69 (39-1-29 57.25%),39 (0.57)
21,"Bulluss, Paul",26y 222d,62 (24-1-37 39.52%),13 (0.21),←,
9,"Campbell, Wayne",23y 344d,119 (52-1-66 44.12%),76 (0.64),←,
15,"Charles, Justin",25y 339d,75 (39-2-34 53.33%),47 (0.63),39 (21-1-17 55.13%),23 (0.59)
10,"Daffy, Nick",23y 113d,67 (38-1-28 57.46%),89 (1.33),←,
25,"Gale, Brendon",28y 45d,144 (60-1-83 42.01%),161 (1.12),←,
1,"Gale, Michael",29y 255d,162 (72-1-89 44.75%),44 (0.27),57 (31-1-25 55.26%),15 (0.26)
2,"Gaspar, Darren",20y 104d,41 (17-0-24 41.46%),2 (0.05),20 (10-0-10 50.00%),1 (0.05)
3,"Kellaway, Duncan",23y 197d,77 (40-1-36 52.60%),,←,
33,"Knights, Matthew",25y 332d,163 (62-0-101 38.04%),101 (0.62),←,
8,"Merenda, Mark",20y 308d,44 (26-0-18 59.09%),26 (0.59),←,
6,"Naish, Chris",24y 340d,131 (55-1-75 42.37%),200 (1.53),←,
13,"Powell, Robert",20y 166d,8 (4-0-4 50.00%),15 (1.88),←,
12,"Richardson, Matthew",21y 166d,64 (32-0-32 50.00%),205 (3.20),←,
4,"Rogers, Matthew",22y 281d,64 (35-1-28 55.47%),58 (0.91),←,
26,"Sullivan, Chris",24y 24d,35 (14-1-20 41.43%),26 (0.74),8 (4-0-4 50.00%),4 (0.50)
5,"Tape, Jamie",22y 149d,67 (37-1-29 55.97%),4 (0.06),←,
29,"Torney, Jason",19y 77d,19 (8-1-10 44.74%),2 (0.11),←,
Totals,Totals,23y 236d,1643 (765-15-863 46.56%),1232 (0.75),,
C,"Walls, Robert",46y 42d,330 (156-2-172 47.58%),,22 (11-0-11 50.00%),
