St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
14,"Bardsley, Kristian",23y 304d,48 (19-1-28 40.63%),20 (0.42),43 (17-1-25 40.70%),16 (0.37)
27,"Beveridge, Luke",25y 325d,84 (48-1-35 57.74%),81 (0.96),11 (5-0-6 45.45%),11 (1.00)
2,"Brown, Tony",19y 46d,26 (10-0-16 38.46%),14 (0.54),←,
3,"Burke, Nathan",26y 158d,195 (82-2-111 42.56%),71 (0.36),←,
34,"Daniels, Jayson",25y 145d,147 (44-1-102 30.27%),25 (0.17),89 (31-1-57 35.39%),21 (0.24)
28,"Elliott, Jamie",23y 158d,55 (19-1-35 35.45%),9 (0.16),6 (2-0-4 33.33%),1 (0.17)
10,"Everitt, Peter",22y 71d,61 (25-1-35 41.80%),90 (1.48),←,
35,"Harvey, Robert",24y 327d,148 (70-2-76 47.97%),85 (0.57),←,
29,"Jones, Austinn",19y 289d,34 (12-0-22 35.29%),30 (0.88),←,
17,"Keogh, Rod",25y 110d,68 (31-0-37 45.59%),23 (0.34),46 (19-0-27 41.30%),15 (0.33)
23,"Loewe, Stewart",28y 51d,206 (87-1-118 42.48%),401 (1.95),←,
42,"McLean, Andrew",22y 361d,6 (2-0-4 33.33%),1 (0.17),←,
16,"Neill, Robert",22y 190d,35 (9-0-26 25.71%),15 (0.43),14 (6-0-8 42.86%),6 (0.43)
1,"Peckett, Justin",23y 282d,68 (26-1-41 38.97%),2 (0.03),←,
31,"Shanahan, Jamie",28y 220d,93 (43-1-49 46.77%),,←,
4,"Smith, Joel",19y 71d,35 (14-0-21 40.00%),18 (0.51),←,
32,"Traianidis, Jason",21y 249d,12 (5-0-7 41.67%),9 (0.75),←,
15,"Wakelin, Darryl",21y 337d,33 (13-0-20 39.39%),2 (0.06),←,
12,"Wakelin, Shane",21y 336d,39 (14-1-24 37.18%),11 (0.28),←,
7,"Winmar, Nicky",30y 292d,181 (78-1-102 43.37%),238 (1.31),←,
20,"Young, Matthew",23y 300d,33 (15-0-18 45.45%),9 (0.27),12 (6-0-6 50.00%),3 (0.25)
Totals,Totals,23y 324d,1607 (666-14-927 41.44%),1154 (0.72),,
C,"Alves, Stan",50y 52d,59 (21-1-37 36.44%),,←,
