Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
7,"Ash, Lachie",19y 53d,9 (5-0-4 55.56%),1 (0.11),←,
5,"Caldwell, Jye",19y 320d,9 (3-0-6 33.33%),,←,
18,"Cameron, Jeremy",27y 134d,165 (75-3-87 46.36%),421 (2.55),←,
3,"Coniglio, Stephen",26y 242d,144 (68-1-75 47.57%),82 (0.57),←,
35,"Corr, Aidan",26y 88d,94 (45-3-46 49.47%),2 (0.02),←,
16,"Daniels, Brent",21y 157d,44 (27-0-17 61.36%),15 (0.34),←,
31,"Finlayson, Jeremy",24y 186d,49 (28-2-19 59.18%),63 (1.29),←,
19,"Haynes, Nick",28y 87d,139 (69-3-67 50.72%),9 (0.06),←,
27,"Himmelberg, Harry",24y 97d,76 (48-1-27 63.82%),89 (1.17),←,
2,"Hopper, Jacob",23y 189d,78 (49-1-28 63.46%),30 (0.38),←,
20,"Hutchesson, Tom",25y 131d,1 (0-0-1 0.00%),,←,
10,"Jacobs, Sam",32y 125d,207 (114-1-92 55.31%),49 (0.24),6 (3-0-3 50.00%),1 (0.17)
25,"Keeffe, Lachlan",30y 121d,65 (38-0-27 58.46%),14 (0.22),25 (13-0-12 52.00%),7 (0.28)
22,"Kelly, Josh",25y 183d,128 (73-2-53 57.81%),81 (0.63),←,
17,"Langdon, Zac",24y 274d,31 (17-0-14 54.84%),23 (0.74),←,
33,"OHalloran, Xavier",20y 33d,2 (1-0-1 50.00%),,←,
36,"Perryman, Harry",21y 238d,47 (25-1-21 54.26%),13 (0.28),←,
23,"Shaw, Heath",34y 260d,319 (194-5-120 61.60%),41 (0.13),146 (84-3-59 58.56%),4 (0.03)
14,"Taranto, Tim",22y 198d,68 (42-1-25 62.50%),27 (0.40),←,
8,"Ward, Callan",30y 125d,223 (100-3-120 45.52%),110 (0.49),163 (68-3-92 42.64%),77 (0.47)
6,"Whitfield, Lachie",26y 26d,144 (71-3-70 50.35%),61 (0.42),←,
29,"Williams, Zac",25y 328d,108 (57-0-51 52.78%),25 (0.23),←,
Totals,Totals,25y 180d,2150 (1149-30-971 53.44%),1156 (0.54),,
C,"Cameron, Leon",47y 346d,154 (85-3-66 56.17%),,←,
