Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Bain, David",11,2,13,24,,,,,,,,,1.0,,,,,,,,,,
23,"Caton, Kevin",14,8,4,18,4,5.0,,1.0,,,,,1.0,,,,,,,,,,
26,"Eade, Rodney",9,5,8,17,,,,1.0,,,,,1.0,,,,,,,,,,
19,"Edwards, Bradley",7,3,3,10,,,,2.0,,,,,2.0,1.0,,,,,,,,,
4,"Gastev, John",22,9,9,31,1,,,1.0,,,,,2.0,2.0,,,,,,,,,
38,"Gibson, Michael",7,7,14,21,,,,1.0,,,,,,2.0,,,,,,,,,
47,"Harris, Bernie",13,3,5,18,4,3.0,,,,,,,,,,,,,,,,,
32,"Hart, Shaun",7,2,2,9,,2.0,,,,,,,1.0,2.0,,,,,,,,,
9,"Ishchenko, Alex",7,8,9,16,,,11.0,,,,,,2.0,4.0,,,,,,,,,
17,"Leslie, Martin",11,8,9,20,,,,1.0,,,,,2.0,2.0,,,,,,,,,
16,"Lester-Smith, Rod",2,1,3,5,,,,,,,,,1.0,,,,,,,,,,
7,"McIvor, Scott",21,9,14,35,1,,,1.0,,,,,4.0,,,,,,,,,,
24,"Merrett, Roger",9,4,3,12,2,2.0,3.0,,,,,,2.0,5.0,,,,,,,,,
28,"OBrien, Cameron",5,4,3,8,1,1.0,1.0,,,,,,,,,,,,,,,,
8,"Richardson, Michael",26,7,3,29,1,,,,,,,,2.0,2.0,,,,,,,,,
6,"Rowe, Brad",11,3,3,14,2,2.0,,2.0,,,,,1.0,2.0,1.0,,,,,,,,
29,"Taylor, Andrew",12,5,9,21,1,,1.0,2.0,,,,,,2.0,,,,,,,,,
18,"Walsh, Phil",15,6,10,25,1,,,,,,,,1.0,,,,,,,,,,
2,"Williams, Mark",13,3,6,19,1,2.0,,1.0,,,,,1.0,2.0,,,,,,,,,
21,"Zanotti, Mark",15,2,7,22,,,,1.0,,,,,2.0,1.0,3.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,237,99,137,374,19,19.0,16.0,14.0,,,,,26.0,27.0,4.0,,,,,,,,
Opposition,Opposition,191,54,95,286,10,14.0,10.0,13.0,,,,,27.0,26.0,2.0,,,,,,,,
