Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
18,"Banfield, Todd",19y 335d,10 (5-0-5 50.00%),15 (1.50),←,
20,"Black, Simon",31y 56d,265 (156-4-105 59.62%),156 (0.59),←,
16,"Brown, Jonathan",28y 212d,194 (121-3-70 63.14%),455 (2.35),←,
33,"Buchanan, Amon",27y 231d,121 (68-2-51 57.02%),58 (0.48),5 (2-0-3 40.00%),1 (0.20)
1,"Clark, Mitch",22y 222d,53 (26-2-25 50.94%),27 (0.51),←,
22,"Collier, Tom",21y 65d,13 (7-0-6 53.85%),1 (0.08),←,
5,"Fevola, Brendan",29y 129d,197 (74-2-121 38.07%),609 (3.09),10 (5-0-5 50.00%),34 (3.40)
12,"Hawksley, James",21y 113d,18 (8-1-9 47.22%),,←,
4,"Johnstone, Travis",29y 316d,202 (100-1-101 49.75%),135 (0.67),42 (22-0-20 52.38%),24 (0.57)
23,"Leuenberger, Matthew",21y 356d,32 (16-1-15 51.56%),4 (0.13),←,
36,"Maguire, Matt",25y 364d,108 (59-1-48 55.09%),19 (0.18),9 (5-0-4 55.56%),
9,"McGrath, Ashley",27y 9d,146 (80-2-64 55.48%),109 (0.75),←,
24,"Patfull, Joel",25y 173d,87 (41-3-43 48.85%),20 (0.23),←,
31,"Polkinghorne, James",21y 128d,32 (17-1-14 54.69%),16 (0.50),←,
6,"Power, Luke",30y 141d,250 (146-3-101 59.00%),203 (0.81),←,
30,"Redden, Jack",19y 171d,20 (11-1-8 57.50%),6 (0.30),←,
10,"Rich, Daniel",19y 356d,34 (19-1-14 57.35%),18 (0.53),←,
35,"Rischitelli, Michael",24y 141d,99 (47-3-49 48.99%),43 (0.43),←,
38,"Rockliff, Tom",20y 96d,8 (3-0-5 37.50%),2 (0.25),←,
3,"Sheldon, Sam",21y 82d,20 (13-1-6 67.50%),1 (0.05),←,
11,"Sherman, Justin",23y 123d,105 (47-3-55 46.19%),84 (0.80),←,
14,"Staker, Brent",26y 6d,120 (69-1-50 57.92%),87 (0.73),10 (5-0-5 50.00%),3 (0.30)
Totals,Totals,24y 174d,2134 (1133-36-965 53.09%),2068 (0.97),,
C,"Voss, Michael",34y 326d,34 (19-1-14 57.35%),,←,
