Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Bowden, Joel",27y 46d,189 (83-0-106 43.92%),147 (0.78),←,
9,"Campbell, Wayne",32y 317d,294 (130-1-163 44.39%),170 (0.58),←,
24,"Coughlan, Mark",23y 108d,68 (24-0-44 35.29%),34 (0.50),←,
3,"Deledio, Brett",18y 110d,19 (9-0-10 47.37%),13 (0.68),←,
41,"Foley, Nathan",19y 332d,3 (0-0-3 0.00%),,←,
2,"Gaspar, Darren",29y 78d,212 (94-0-118 44.34%),23 (0.11),191 (87-0-104 45.55%),22 (0.12)
20,"Hall, Ray",24y 283d,83 (32-0-51 38.55%),25 (0.30),←,
33,"Hartigan, Brent",20y 121d,24 (7-0-17 29.17%),2 (0.08),←,
1,"Hilton, Rory",26y 113d,88 (39-0-49 44.32%),55 (0.63),79 (36-0-43 45.57%),52 (0.66)
31,"Hyde, Chris",22y 362d,44 (9-0-35 20.45%),8 (0.18),←,
17,"Johnson, Kane",27y 144d,158 (72-0-86 45.57%),60 (0.38),54 (17-0-37 31.48%),16 (0.30)
13,"Knobel, Trent",25y 75d,72 (38-1-33 53.47%),12 (0.17),18 (8-0-10 44.44%),4 (0.22)
27,"Krakouer, Andrew",22y 183d,75 (23-0-52 30.67%),75 (1.00),←,
40,"Moore, Kelvin",21y 134d,12 (0-0-12 0.00%),6 (0.50),←,
35,"Newman, Chris",23y 80d,73 (23-0-50 31.51%),9 (0.12),←,
26,"Pattison, Adam",19y 154d,2 (1-0-1 50.00%),,←,
15,"Pettifer, Kayne",23y 196d,56 (23-0-33 41.07%),50 (0.89),←,
12,"Richardson, Matthew",30y 140d,213 (93-0-120 43.66%),633 (2.97),←,
5,"Simmonds, Troy",27y 24d,123 (61-0-62 49.59%),80 (0.65),19 (9-0-10 47.37%),14 (0.74)
30,"Tambling, Richard",18y 328d,9 (6-0-3 66.67%),6 (0.67),←,
36,"Thursfield, Will",19y 109d,6 (2-0-4 33.33%),,←,
21,"Tuck, Shane",23y 225d,22 (9-0-13 40.91%),9 (0.41),←,
Totals,Totals,23y 349d,1845 (778-2-1065 42.17%),1417 (0.77),,
C,"Wallace, Terry",46y 236d,167 (88-2-77 53.29%),,19 (9-0-10 47.37%),
