Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",30y 258d,153 (87-1-65 57.19%),233 (1.52),←,
41,"Banfield, Bailey",20y 33d,2 (1-0-1 50.00%),,←,
19,"Blakely, Connor",22y 29d,35 (12-0-23 34.29%),2 (0.06),←,
8,"Brayshaw, Andrew",18y 143d,2 (1-0-1 50.00%),,←,
5,"Cerra, Adam",18y 175d,1 (1-0-0 100.00%),2 (2.00),←,
12,"Crowden, Mitch",18y 337d,1 (1-0-0 100.00%),,←,
7,"Fyfe, Nat",26y 194d,140 (81-1-58 58.21%),123 (0.88),←,
21,"Hamling, Joel",24y 356d,46 (25-0-21 54.35%),,23 (9-0-14 39.13%),
9,"Hill, Bradley",24y 265d,119 (83-0-36 69.75%),72 (0.61),24 (9-0-15 37.50%),14 (0.58)
32,"Hill, Stephen",27y 334d,191 (100-0-91 52.36%),109 (0.57),←,
37,"Johnson, Michael",33y 162d,233 (124-1-108 53.43%),65 (0.28),←,
26,"Langdon, Ed",22y 58d,27 (9-0-18 33.33%),16 (0.59),←,
3,"Matera, Brandon",26y 20d,103 (32-1-70 31.55%),126 (1.22),2 (1-0-1 50.00%),2 (1.00)
23,"McCarthy, Cam",22y 364d,42 (20-0-22 47.62%),63 (1.50),21 (8-0-13 38.10%),27 (1.29)
16,"Mundy, David",32y 254d,274 (144-1-129 52.74%),112 (0.41),←,
27,"Neale, Lachie",24y 311d,115 (58-0-57 50.43%),57 (0.50),←,
25,"Pearce, Alex",22y 295d,23 (10-0-13 43.48%),3 (0.13),←,
38,"Ryan, Luke",22y 53d,13 (3-0-10 23.08%),,←,
31,"Sandilands, Aaron",35y 115d,256 (143-0-113 55.86%),93 (0.36),←,
20,"Taberner, Matthew",24y 287d,55 (26-0-29 47.27%),57 (1.04),←,
10,"Walters, Michael",27y 83d,113 (61-1-51 54.42%),201 (1.78),←,
14,"Wilson, Nathan",25y 83d,79 (41-2-36 53.16%),17 (0.22),2 (1-0-1 50.00%),1 (0.50)
Totals,Totals,25y 42d,2023 (1063-8-952 52.55%),1351 (0.67),,
C,"Lyon, Ross",51y 143d,264 (156-5-103 60.04%),,143 (80-1-62 56.29%),
