Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16,"Bramble, Lachlan",8,5,8,16,,,,2.0,1.0,2.0,,1.0,1.0,1.0,,4.0,14.0,,,2.0,1.0,2.0,86.0
22,"Breust, Luke",4,2,4,8,1,,,1.0,,3.0,,3.0,1.0,,,4.0,4.0,,1.0,1.0,,,76.0
45,"Callow, Jackson",3,3,7,10,,1.0,5.0,2.0,,2.0,,1.0,,,,6.0,4.0,2.0,1.0,,,,70.0
12,"Day, Will",12,5,11,23,,,,1.0,4.0,2.0,1.0,2.0,,1.0,,5.0,15.0,1.0,,2.0,,,79.0
8,"Frost, Sam",6,4,4,10,,,,1.0,2.0,1.0,,5.0,1.0,4.0,,4.0,5.0,,,2.0,1.0,,99.0
24,"Grainger-Barras, Denver",5,2,1,6,,,,1.0,2.0,,,1.0,1.0,1.0,,,5.0,,,2.0,,,61.0
19,"Gunston, Jack",10,8,1,11,2,4.0,,3.0,,3.0,,2.0,,1.0,,7.0,5.0,4.0,4.0,2.0,,1.0,98.0
15,"Hardwick, Blake",8,6,2,10,,,,1.0,1.0,,,1.0,,,,1.0,9.0,,,1.0,,,82.0
4,"Impey, Jarman",12,7,11,23,,,,,3.0,3.0,,1.0,1.0,,,4.0,18.0,,,,3.0,,78.0
23,"Koschitzke, Jacob",4,1,3,7,2,,,2.0,,,,1.0,1.0,1.0,,6.0,4.0,,1.0,3.0,,,88.0
18,"Lynch, Max",8,4,4,12,2,1.0,18.0,1.0,,3.0,3.0,2.0,2.0,2.0,,7.0,6.0,1.0,3.0,1.0,,1.0,79.0
31,"Macdonald, Connor",7,2,3,10,1,1.0,,3.0,,1.0,,,,,,2.0,8.0,,1.0,1.0,,,68.0
32,"Maginness, Finn",8,5,10,18,1,1.0,,4.0,1.0,2.0,2.0,3.0,1.0,1.0,,8.0,10.0,,,2.0,,,78.0
3,"Mitchell, Tom",5,3,9,14,,,,3.0,1.0,2.0,4.0,2.0,,1.0,,6.0,8.0,,,,,,78.0
13,"Moore, Dylan",14,11,6,20,1,1.0,,,2.0,3.0,,3.0,1.0,,,2.0,18.0,,2.0,2.0,1.0,,92.0
1,"Morrison, Harry",16,7,7,23,1,1.0,,1.0,3.0,3.0,4.0,4.0,,1.0,,8.0,16.0,1.0,1.0,1.0,,1.0,88.0
44,"Newcombe, Jai",10,8,18,28,,,,4.0,3.0,3.0,5.0,1.0,2.0,1.0,1.0,11.0,17.0,,,,1.0,,83.0
10,"OMeara, Jaeger",17,5,11,28,,2.0,,6.0,2.0,6.0,4.0,6.0,3.0,2.0,,11.0,17.0,,1.0,,1.0,2.0,88.0
14,"Scrimshaw, Jack",15,6,10,25,,,,3.0,7.0,1.0,,2.0,,,,5.0,20.0,1.0,,1.0,,1.0,83.0
26,"Shiels, Liam",,,,,,,,,,,,,,,,,,,,,,,
6,"Sicily, James",16,7,6,22,,1.0,,1.0,7.0,3.0,,1.0,2.0,,,7.0,10.0,2.0,,9.0,,,92.0
25,"Ward, Josh",6,2,8,14,,,,3.0,1.0,1.0,2.0,1.0,1.0,,,2.0,12.0,,,2.0,,1.0,75.0
5,"Worpel, James",6,,9,15,,1.0,,2.0,,3.0,4.0,2.0,1.0,,,9.0,7.0,,,1.0,1.0,,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,200,103,153,353,11,15.0,23.0,45.0,40.0,47.0,29.0,45.0,19.0,17.0,1.0,119.0,232.0,12.0,15.0,35.0,9.0,9.0,
Opposition,Opposition,223,105,129,352,16,12.0,41.0,59.0,36.0,57.0,33.0,51.0,17.0,19.0,5.0,124.0,218.0,9.0,20.0,39.0,14.0,10.0,
