St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Armitage, David",6,2,7,13,1,,,3.0,,,4.0,2.0,1.0,2.0,,6.0,6.0,,1.0,,,,74.0
27,"Blake, Jason",4,4,8,12,,,,1.0,,2.0,,1.0,,,,4.0,7.0,,,4.0,,1.0,95.0
26,"Dal Santo, Nick",22,5,14,36,2,2.0,3.0,4.0,3.0,6.0,4.0,3.0,3.0,,2.0,14.0,22.0,1.0,,,3.0,1.0,85.0
24,"Dempster, Sean",6,4,8,14,,1.0,,6.0,1.0,2.0,2.0,3.0,1.0,3.0,,5.0,10.0,,1.0,1.0,,,73.0
25,"Fisher, Sam",8,7,5,13,,,,,4.0,,,2.0,,1.0,,6.0,8.0,3.0,,1.0,,,93.0
14,"Geary, Jarryn",11,2,6,17,,,,3.0,2.0,3.0,,5.0,2.0,3.0,,6.0,10.0,,,4.0,1.0,1.0,80.0
19,"Gilbert, Sam",9,7,14,23,,,,4.0,4.0,4.0,1.0,4.0,1.0,2.0,,8.0,15.0,,,3.0,,,94.0
18,"Goddard, Brendon",19,10,10,29,2,,1.0,5.0,5.0,4.0,7.0,3.0,,,,11.0,17.0,2.0,,,,1.0,91.0
1,"Gram, Jason",12,3,7,19,1,,,1.0,2.0,4.0,1.0,5.0,,1.0,,4.0,15.0,,,3.0,,1.0,90.0
33,"Gwilt, James",10,5,7,17,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,4.0,12.0,1.0,,1.0,,,87.0
21,"Heyne, Nick",1,,2,3,,,,1.0,,1.0,,1.0,,1.0,,2.0,1.0,,,1.0,,,54.0
23,"Koschitzke, Justin",11,7,2,13,5,1.0,,1.0,,2.0,,2.0,2.0,2.0,,6.0,6.0,2.0,5.0,1.0,,,87.0
5,"McEvoy, Ben",2,6,11,13,,,16.0,1.0,1.0,,3.0,,1.0,,,6.0,8.0,2.0,1.0,3.0,,1.0,56.0
32,"McQualter, Andrew",5,5,6,11,,,,3.0,,2.0,,,,,,2.0,9.0,,2.0,2.0,,,84.0
45,"Miles, Luke",7,7,9,16,,,,1.0,2.0,1.0,,1.0,,,,3.0,13.0,,,2.0,,,80.0
44,"Milne, Stephen",9,2,5,14,1,1.0,,3.0,1.0,3.0,1.0,2.0,2.0,1.0,,3.0,10.0,,1.0,1.0,1.0,1.0,86.0
11,"Montagna, Leigh",27,7,15,42,1,1.0,,,4.0,4.0,11.0,3.0,3.0,1.0,3.0,14.0,28.0,1.0,1.0,1.0,,,84.0
34,"Pattison, Adam",2,3,5,7,1,,12.0,1.0,,1.0,1.0,4.0,1.0,4.0,,2.0,5.0,,1.0,1.0,,,61.0
30,"Peake, Brett",10,6,10,20,,2.0,,2.0,,5.0,1.0,1.0,,,,7.0,14.0,,1.0,,1.0,,87.0
22,"Ray, Farren",8,5,8,16,,1.0,,3.0,,3.0,,1.0,,,,3.0,13.0,1.0,,1.0,,1.0,90.0
12,"Riewoldt, Nick",12,9,6,18,3,3.0,,3.0,,3.0,,1.0,3.0,1.0,,6.0,13.0,1.0,4.0,,,2.0,88.0
13,"Schneider, Adam",4,,7,11,,,,3.0,1.0,2.0,,1.0,,1.0,,3.0,8.0,,,1.0,,1.0,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,205,106,172,377,17,13.0,32.0,51.0,32.0,53.0,37.0,46.0,21.0,24.0,5.0,125.0,250.0,14.0,18.0,31.0,6.0,11.0,
Opposition,Opposition,195,101,145,340,14,10.0,37.0,43.0,31.0,48.0,28.0,43.0,26.0,21.0,1.0,103.0,240.0,6.0,13.0,47.0,3.0,9.0,
