Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
3,"Berry, Sam",23y 170d,71 (32-0-39 45.07%),18 (0.25),←,
40,"Bond, Hugh",20y 310d,8 (4-0-4 50.00%),,←,
15,"Cook, Brayden",23y 14d,30 (14-1-15 48.33%),15 (0.50),←,
44,"Cumming, Isaac",26y 355d,100 (52-1-47 52.50%),16 (0.16),19 (14-0-5 73.68%),6 (0.32)
6,"Curtin, Daniel",20y 146d,27 (17-1-9 64.81%),13 (0.48),←,
12,"Dawson, Jordan",28y 114d,151 (72-1-78 48.01%),76 (0.50),87 (42-1-44 48.85%),42 (0.48)
32,"Fogarty, Darcy",25y 310d,121 (51-1-69 42.56%),194 (1.60),←,
20,"Hinge, Mitch",27y 36d,84 (40-1-43 48.21%),8 (0.10),81 (38-1-42 47.53%),7 (0.09)
1,"Jones, Chayce",25y 199d,96 (33-1-62 34.90%),23 (0.24),←,
48,"Keane, Mark",25y 137d,51 (27-1-23 53.92%),,46 (26-1-19 57.61%),
2,"Keays, Ben",28y 159d,156 (58-1-97 37.50%),123 (0.79),126 (52-1-73 41.67%),112 (0.89)
30,"Milera, Wayne",27y 321d,118 (64-1-53 54.66%),31 (0.26),←,
9,"Murray, Nick",24y 226d,62 (24-0-38 38.71%),1 (0.02),←,
28,"Neal-Bullen, Alex",29y 204d,196 (116-1-79 59.44%),132 (0.67),20 (15-0-5 75.00%),16 (0.80)
43,"OBrien, Reilly",29y 346d,141 (62-1-78 44.33%),17 (0.12),←,
25,"Peatling, James",24y 345d,63 (36-0-27 57.14%),22 (0.35),18 (14-0-4 77.78%),6 (0.33)
23,"Rankine, Izak",25y 100d,103 (45-2-56 44.66%),151 (1.47),55 (29-1-25 53.64%),94 (1.71)
33,"Smith, Brodie",33y 199d,269 (138-2-129 51.67%),73 (0.27),←,
14,"Soligo, Jake",22y 188d,80 (39-1-40 49.38%),34 (0.43),←,
19,"Taylor, Zac",22y 182d,21 (13-0-8 61.90%),6 (0.29),←,
7,"Thilthorpe, Riley",23y 25d,73 (34-0-39 46.58%),107 (1.47),←,
13,"Walker, Taylor",35y 98d,297 (153-2-142 51.85%),675 (2.27),←,
24,"Worrell, Josh",24y 112d,50 (29-1-20 59.00%),,←,
Totals,Totals,26y 12d,2368 (1153-20-1195 48.69%),1735 (0.73),,
C,"Nicks, Matthew",50y 80d,126 (52-1-73 41.67%),,←,
