Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Ablett, Gary",10,4,9,19,4,2.0,,4.0,,1.0,2.0,1.0,2.0,1.0,1.0,11.0,9.0,1.0,1.0,2.0,,1.0,81.0
23,"Ablett, Nathan",4,3,4,8,,,,2.0,,,,,,,,2.0,6.0,,1.0,1.0,1.0,,87.0
3,"Bartel, Jimmy",14,4,13,27,,,,2.0,2.0,3.0,4.0,3.0,1.0,2.0,,12.0,15.0,,,2.0,1.0,,86.0
24,"Blake, Mark",2,,6,8,,,12.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,,5.0,3.0,,,4.0,,1.0,52.0
17,"Byrnes, Shannon",15,9,3,18,,2.0,,4.0,3.0,4.0,2.0,3.0,1.0,,,4.0,14.0,,1.0,1.0,3.0,1.0,75.0
7,"Callan, Tim",6,2,6,12,,,,1.0,2.0,,,,,,,4.0,8.0,,,1.0,,,68.0
35,"Chapman, Paul",21,8,11,32,1,,,5.0,3.0,5.0,2.0,1.0,,,3.0,13.0,19.0,,2.0,,7.0,3.0,88.0
11,"Corey, Joel",17,7,13,30,1,,1.0,7.0,3.0,8.0,4.0,4.0,2.0,2.0,,14.0,17.0,,1.0,7.0,,,91.0
19,"Egan, Matthew",5,5,8,13,,,,2.0,1.0,1.0,1.0,,,,,7.0,5.0,3.0,,2.0,,,72.0
44,"Enright, Corey",12,3,6,18,2,1.0,,2.0,3.0,5.0,,1.0,,1.0,,1.0,17.0,,1.0,2.0,4.0,1.0,96.0
8,"Hunt, Josh",7,3,5,12,,,,,3.0,1.0,,,,,,7.0,5.0,1.0,,5.0,,,82.0
20,"Johnson, Steve",10,7,3,13,3,,,,1.0,1.0,,2.0,1.0,1.0,,4.0,9.0,,3.0,3.0,1.0,1.0,81.0
9,"Kelly, James",11,4,10,21,,,,4.0,2.0,4.0,2.0,3.0,1.0,1.0,,8.0,14.0,,,2.0,,,74.0
45,"Ling, Cameron",12,10,13,25,1,,,2.0,1.0,3.0,3.0,1.0,,,,6.0,19.0,1.0,2.0,1.0,,,90.0
4,"Mackie, Andrew",11,5,7,18,,,,2.0,1.0,3.0,,7.0,1.0,,,5.0,13.0,1.0,2.0,2.0,,,77.0
39,"Milburn, Darren",6,6,12,18,1,,,,3.0,,2.0,6.0,,1.0,,4.0,12.0,1.0,1.0,11.0,5.0,,89.0
21,"Mooney, Cameron",8,7,4,12,3,1.0,,3.0,1.0,1.0,,2.0,2.0,1.0,,5.0,7.0,1.0,2.0,2.0,,2.0,93.0
6,"Ottens, Brad",6,6,5,11,1,1.0,25.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,,5.0,6.0,,2.0,5.0,,,78.0
30,"Scarlett, Matthew",19,3,1,20,,,,4.0,12.0,2.0,,3.0,1.0,,,5.0,12.0,2.0,,5.0,2.0,1.0,100.0
25,"Spencer, Matthew",2,1,3,5,,,,,2.0,,,1.0,,1.0,,1.0,4.0,,,2.0,,,90.0
27,"Stokes, Mathew",10,5,4,14,3,,,3.0,1.0,5.0,1.0,5.0,,3.0,,5.0,9.0,,,1.0,,,68.0
40,"Wojcinski, David",10,1,3,13,,,,4.0,3.0,2.0,1.0,2.0,2.0,1.0,,4.0,10.0,,,1.0,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,103,149,367,20,10.0,38.0,54.0,49.0,53.0,31.0,48.0,16.0,17.0,4.0,132.0,233.0,11.0,19.0,62.0,24.0,11.0,
Opposition,Opposition,214,107,129,343,13,10.0,26.0,37.0,35.0,65.0,36.0,44.0,17.0,16.0,2.0,126.0,211.0,11.0,16.0,46.0,19.0,8.0,
