Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
10,"Boak, Travis",23y 299d,99 (40-0-59 40.40%),49 (0.49),←,
5,"Broadbent, Matthew",21y 299d,42 (12-0-30 28.57%),18 (0.43),←,
27,"Carlile, Alipate",25y 26d,100 (39-0-61 39.00%),4 (0.04),←,
1,"Cassisi, Domenic",29y 247d,193 (97-1-95 50.52%),73 (0.38),←,
30,"Chaplin, Troy",26y 93d,131 (53-1-77 40.84%),10 (0.08),←,
18,"Cornes, Kane",29y 142d,232 (119-1-112 51.51%),84 (0.36),←,
7,"Ebert, Brad",22y 54d,85 (31-0-54 36.47%),44 (0.52),9 (3-0-6 33.33%),11 (1.22)
33,"Ebert, Brett",28y 190d,153 (70-1-82 46.08%),220 (1.44),←,
8,"Hartlett, Hamish",21y 286d,40 (11-0-29 27.50%),15 (0.38),←,
16,"Jacobs, Ben",20y 138d,21 (4-0-17 19.05%),5 (0.24),←,
35,"McCarthy, John",22y 189d,27 (15-0-12 55.56%),14 (0.52),9 (3-0-6 33.33%),4 (0.44)
6,"Pearce, Danyle",26y 49d,141 (57-0-84 40.43%),73 (0.52),←,
31,"Pfeiffer, Darren",24y 241d,12 (5-0-7 41.67%),5 (0.42),5 (2-0-3 40.00%),1 (0.20)
4,"Renouf, Brent",24y 23d,58 (31-1-26 54.31%),11 (0.19),6 (2-0-4 33.33%),2 (0.33)
28,"Schulz, Jay",27y 38d,110 (38-2-70 35.45%),141 (1.28),39 (14-0-25 35.90%),83 (2.13)
43,"Stewart, Daniel",23y 209d,30 (6-0-24 20.00%),27 (0.90),←,
14,"Stewart, Paul",24y 321d,53 (19-0-34 35.85%),8 (0.15),←,
9,"Surjan, Jacob",26y 285d,117 (54-0-63 46.15%),17 (0.15),←,
21,"Thomas, Matt",25y 89d,73 (23-0-50 31.51%),23 (0.32),←,
12,"Trengove, Jackson",21y 206d,49 (12-0-37 24.49%),6 (0.12),←,
39,"Westhoff, Justin",25y 238d,98 (39-0-59 39.80%),131 (1.34),←,
20,"Wingard, Chad",18y 302d,7 (3-0-4 42.86%),1 (0.14),←,
Totals,Totals,24y 197d,1871 (778-7-1086 41.58%),979 (0.52),,
C,"Primus, Matthew",37y 135d,38 (11-0-27 28.95%),,←,
