Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
13,"Adams, Taylor",26y 321d,142 (60-2-80 42.96%),56 (0.39),111 (57-2-52 52.25%),44 (0.40)
17,"Brown, Callum",22y 101d,44 (24-1-19 55.68%),17 (0.39),←,
25,"Crisp, Jack",26y 309d,144 (73-2-69 51.39%),48 (0.33),126 (66-2-58 53.17%),38 (0.30)
26,"Daicos, Josh",21y 254d,26 (14-1-11 55.77%),14 (0.54),←,
5,"Elliott, Jamie",27y 351d,115 (67-2-46 59.13%),169 (1.47),←,
4,"Grundy, Brodie",26y 113d,142 (77-2-63 54.93%),45 (0.32),←,
32,"Hoskin-Elliott, Will",26y 339d,129 (56-2-71 44.19%),128 (0.99),77 (44-2-31 58.44%),86 (1.12)
44,"Madgen, Jack",27y 103d,12 (9-1-2 79.17%),,←,
37,"Maynard, Brayden",23y 321d,107 (54-2-51 51.40%),15 (0.14),←,
41,"Mihocek, Brody",27y 184d,50 (32-1-17 65.00%),78 (1.56),←,
30,"Moore, Darcy",24y 194d,81 (36-2-43 45.68%),61 (0.75),←,
9,"Noble, John",23y 134d,13 (8-1-4 65.38%),1 (0.08),←,
21,"Phillips, Tom",24y 91d,84 (48-2-34 58.33%),43 (0.51),←,
3,"Quaynor, Isaac",20y 204d,9 (4-0-5 44.44%),,←,
20,"Reid, Ben",31y 99d,151 (88-3-60 59.27%),71 (0.47),←,
23,"Roughead, Jordan",29y 277d,171 (84-1-86 49.42%),35 (0.20),33 (21-1-11 65.15%),1 (0.03)
39,"Ruscoe, Trey",18y 277d,1 (1-0-0 100.00%),1 (1.00),←,
22,"Sidebottom, Steele",29y 217d,240 (147-4-89 62.08%),165 (0.69),←,
36,"Sier, Brayden",22y 238d,20 (12-0-8 60.00%),5 (0.25),←,
1,"Stephenson, Jaidyn",21y 204d,48 (31-0-17 64.58%),70 (1.46),←,
24,"Thomas, Josh",28y 310d,94 (59-2-33 63.83%),85 (0.90),←,
7,"Treloar, Adam",27y 150d,169 (68-1-100 40.53%),96 (0.57),90 (48-1-41 53.89%),48 (0.53)
Totals,Totals,25y 168d,1992 (1052-32-908 52.81%),1203 (0.60),,
C,"Buckley, Nathan",48y 11d,196 (108-2-86 55.61%),,←,
