Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
30,"Brand, Kaiden",23y 139d,28 (16-1-11 58.93%),,←,
22,"Breust, Luke",26y 287d,161 (120-1-40 74.84%),304 (1.89),←,
9,"Burgoyne, Shaun",34y 308d,341 (230-2-109 67.74%),276 (0.81),184 (133-2-49 72.83%),105 (0.57)
8,"Duryea, Taylor",26y 123d,101 (73-1-27 72.77%),20 (0.20),←,
44,"Glass, Conor",19y 331d,6 (4-0-2 66.67%),,←,
19,"Gunston, Jack",25y 313d,149 (102-1-46 68.79%),290 (1.95),135 (97-1-37 72.22%),270 (2.00)
37,"Hardwick, Blake",20y 201d,20 (11-1-8 57.50%),,←,
4,"Hartung, Billy",22y 213d,63 (43-1-19 69.05%),27 (0.43),←,
15,"Hodge, Luke",33y 71d,305 (180-2-123 59.34%),193 (0.63),←,
17,"Howe, Daniel",21y 264d,33 (23-1-9 71.21%),6 (0.18),←,
29,"Langford, Will",25y 53d,66 (43-1-22 65.91%),24 (0.36),←,
7,"McEvoy, Ben",28y 45d,168 (99-3-66 59.82%),70 (0.42),77 (48-1-28 62.99%),43 (0.56)
3,"Mitchell, Tom",24y 86d,87 (52-1-34 60.34%),48 (0.55),22 (10-1-11 47.73%),10 (0.45)
35,"Morrison, Harry",18y 286d,1 (1-0-0 100.00%),,←,
23,"OBrien, Tim",23y 150d,34 (23-1-10 69.12%),33 (0.97),←,
10,"OMeara, Jaeger",23y 183d,50 (19-0-31 38.00%),28 (0.56),6 (1-0-5 16.67%),1 (0.17)
28,"Puopolo, Paul",29y 266d,148 (110-0-38 74.32%),151 (1.02),←,
2,"Roughead, Jarryd",30y 214d,253 (160-2-91 63.64%),529 (2.09),←,
25,"Schoenmakers, Ryan",26y 290d,112 (70-1-41 62.95%),42 (0.38),←,
26,"Shiels, Liam",26y 118d,163 (116-1-46 71.47%),56 (0.34),←,
21,"Sicily, James",22y 231d,44 (27-1-16 62.50%),47 (1.07),←,
16,"Smith, Isaac",28y 238d,157 (116-1-40 74.20%),125 (0.80),←,
Totals,Totals,25y 217d,2490 (1638-23-829 65.78%),2269 (0.91),,
C,"Clarkson, Alastair",49y 120d,305 (190-2-113 62.62%),,←,
