Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Barker, John",3,1,,3,,1.0,,2.0,,1.0,,1.0,,1.0,,1.0,2.0,,,1.0,,,
33,"Barlow, Kris",11,7,2,13,1,1.0,,3.0,1.0,4.0,,1.0,,1.0,,3.0,10.0,,3.0,,1.0,,
32,"Brown, Campbell",4,1,5,9,2,,,2.0,,,2.0,1.0,,,,6.0,4.0,,,2.0,,,
17,"Chick, Daniel",13,6,9,22,2,,,6.0,,3.0,3.0,1.0,,,,6.0,15.0,,,5.0,1.0,,
25,"Clarke, Tim",3,2,4,7,,,,,,1.0,1.0,1.0,,,,1.0,6.0,,,3.0,,,
35,"Cox, Adrian",8,3,11,19,,1.0,,4.0,2.0,3.0,2.0,2.0,1.0,,2.0,10.0,9.0,1.0,1.0,,,,
24,"Cox, Simon",10,4,8,18,1,2.0,,,3.0,3.0,1.0,2.0,,,,4.0,13.0,,2.0,2.0,,,
9,"Crawford, Shane",16,2,8,24,3,1.0,1.0,8.0,3.0,4.0,3.0,4.0,1.0,3.0,,9.0,13.0,,,2.0,1.0,,
19,"Dixon, Ben",3,2,1,4,,,,,,2.0,,1.0,,1.0,,,5.0,,,,,,
34,"Graham, Mark",12,12,6,18,1,,2.0,2.0,5.0,3.0,,,,,,6.0,12.0,1.0,2.0,2.0,,,
29,"Greene, Steven",8,9,7,15,,1.0,,2.0,1.0,3.0,,1.0,,,,4.0,11.0,1.0,,3.0,,,
3,"Hay, Jonathan",9,7,7,16,,,,2.0,1.0,2.0,1.0,2.0,,1.0,,2.0,14.0,1.0,,1.0,4.0,,
15,"Hodge, Luke",17,5,3,20,,,1.0,,2.0,3.0,3.0,,,,1.0,8.0,10.0,,,4.0,1.0,,
2,"Holland, Nick",10,10,10,20,1,2.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,7.0,13.0,3.0,3.0,1.0,,,
8,"Johnson, Brett",12,3,6,18,1,,,3.0,3.0,5.0,4.0,2.0,,1.0,,6.0,12.0,,2.0,5.0,,,
12,"Lonie, Nathan",13,3,1,14,1,1.0,,2.0,,4.0,3.0,,2.0,,,5.0,10.0,,,,,,
20,"Rawlings, Jade",16,11,6,22,,,3.0,2.0,5.0,1.0,,1.0,,1.0,,3.0,19.0,1.0,,2.0,,,
52,"Rehn, Shaun",7,3,5,12,,,18.0,,1.0,2.0,5.0,1.0,2.0,1.0,,8.0,5.0,1.0,,,,,
16,"Ries, Nick",7,5,3,10,,,,3.0,,2.0,1.0,2.0,,1.0,,3.0,7.0,,,2.0,,,
4,"Tallis, Rayden",9,4,3,12,,,,2.0,1.0,1.0,,,1.0,,,5.0,7.0,,,1.0,,,
23,"Thompson, Nathan",6,5,2,8,2,2.0,1.0,,,1.0,,1.0,1.0,,,4.0,4.0,2.0,3.0,3.0,,,
21,"Vandenberg, Richard",12,1,8,20,2,,,2.0,,8.0,7.0,3.0,1.0,1.0,3.0,7.0,13.0,,,2.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,209,106,115,324,17,14.0,31.0,47.0,29.0,57.0,37.0,29.0,11.0,13.0,6.0,108.0,214.0,11.0,16.0,41.0,8.0,,
Opposition,Opposition,183,84,107,290,14,9.0,28.0,38.0,36.0,45.0,38.0,40.0,13.0,11.0,,109.0,172.0,9.0,9.0,50.0,20.0,,
