Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
26,"Bickley, Mark",27y 265d,123 (55-0-68 44.72%),32 (0.26),←,
18,"Bond, Troy",23y 286d,59 (36-0-23 61.02%),42 (0.71),23 (10-0-13 43.48%),16 (0.70)
44,"Caven, Peter",26y 345d,79 (29-0-50 36.71%),38 (0.48),22 (8-0-14 36.36%),17 (0.77)
9,"Edwards, Tyson",20y 263d,34 (14-0-20 41.18%),9 (0.26),←,
34,"Hart, Ben",22y 291d,112 (50-1-61 45.09%),24 (0.21),←,
11,"James, Brett",24y 132d,47 (19-1-27 41.49%),27 (0.57),5 (2-0-3 40.00%),1 (0.20)
3,"Jarman, Darren",30y 88d,131 (75-0-56 57.25%),171 (1.31),22 (10-0-12 45.45%),49 (2.23)
28,"Johnson, Kane",19y 42d,7 (3-0-4 42.86%),,←,
5,"Koster, Kym",24y 84d,50 (27-1-22 55.00%),19 (0.38),12 (7-0-5 58.33%),6 (0.50)
8,"McCartney, Jason",23y 43d,74 (34-0-40 45.95%),47 (0.64),36 (14-0-22 38.89%),19 (0.53)
23,"McLeod, Andrew",20y 265d,39 (16-0-23 41.03%),42 (1.08),←,
6,"Modra, Tony",28y 56d,90 (37-1-52 41.67%),364 (4.04),←,
21,"Ormond-Allen, Trent",20y 319d,12 (5-0-7 41.67%),1 (0.08),4 (1-0-3 25.00%),
15,"Pittman, David",28y 62d,78 (33-1-44 42.95%),20 (0.26),←,
52,"Rehn, Shaun",25y 252d,71 (36-1-34 51.41%),25 (0.35),←,
32,"Ricciuto, Mark",21y 322d,88 (37-1-50 42.61%),55 (0.63),←,
7,"Smart, Nigel",27y 340d,125 (56-1-68 45.20%),65 (0.52),←,
16,"Standfield, Barry",27y 72d,103 (55-1-47 53.88%),53 (0.51),5 (2-0-3 40.00%),15 (3.00)
12,"Tregenza, Simon",26y 48d,90 (44-1-45 49.44%),15 (0.17),←,
30,"Vardy, Peter",21y 90d,12 (3-0-9 25.00%),8 (0.67),←,
29,"Williams, Brent",19y 72d,5 (2-0-3 40.00%),3 (0.60),←,
Totals,Totals,24y 108d,1429 (666-10-753 46.61%),1060 (0.74),,
C,"Blight, Malcolm",47y 69d,166 (97-0-69 58.43%),,5 (2-0-3 40.00%),
