Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
24,"Allan, Matthew",21y 41d,17 (13-0-4 76.47%),8 (0.47),←,
20,"Brown, Fraser",25y 233d,108 (66-1-41 61.57%),67 (0.62),←,
16,"Camporeale, Scott",20y 240d,26 (24-0-2 92.31%),14 (0.54),←,
39,"Christou, Ang",24y 82d,75 (56-1-18 75.33%),16 (0.21),←,
35,"Dean, Peter",31y 29d,209 (136-1-72 65.31%),29 (0.14),←,
9,"Hickmott, Adrian",24y 8d,52 (34-0-18 65.38%),24 (0.46),2 (2-0-0 100.00%),
33,"Hogg, Matthew",27y 108d,125 (68-3-54 55.60%),30 (0.24),66 (44-1-21 67.42%),26 (0.39)
4,"Kernahan, Stephen",32y 219d,218 (139-2-77 64.22%),664 (3.05),←,
43,"Koutoufides, Anthony",23y 80d,63 (44-1-18 70.63%),31 (0.49),←,
44,"Madden, Justin",34y 312d,313 (200-2-111 64.22%),187 (0.60),268 (170-2-96 63.81%),167 (0.62)
22,"Manton, Glenn",22y 311d,35 (25-0-10 71.43%),8 (0.23),14 (14-0-0 100.00%),4 (0.29)
5,"McKay, Andrew",25y 268d,72 (54-1-17 75.69%),12 (0.17),←,
18,"Murphy, Justin",19y 349d,14 (11-0-3 78.57%),10 (0.71),2 (2-0-0 100.00%),1 (0.50)
27,"OSullivan, Luke",28y 10d,47 (26-0-21 55.32%),46 (0.98),←,
19,"Pearce, Brad",24y 235d,29 (25-0-4 86.21%),62 (2.14),27 (25-0-2 92.59%),61 (2.26)
7,"Ratten, Brett",24y 271d,99 (64-0-35 64.65%),23 (0.23),←,
14,"Sexton, Michael",25y 33d,109 (72-1-36 66.51%),10 (0.09),←,
1,"Silvagni, Stephen",28y 312d,190 (127-1-62 67.11%),121 (0.64),←,
11,"Spalding, Earl",31y 27d,197 (135-1-61 68.78%),153 (0.78),88 (65-1-22 74.43%),90 (1.02)
32,"Whitehead, Adrian",20y 226d,35 (31-0-4 88.57%),4 (0.11),←,
2,"Williams, Greg",32y 190d,221 (134-1-86 60.86%),199 (0.90),80 (58-1-21 73.13%),71 (0.89)
Totals,Totals,26y 49d,2254 (1484-16-754 65.84%),1718 (0.76),,
C,"Parkin, David",53y 208d,401 (243-2-156 60.85%),,238 (156-2-80 65.97%),
