Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
16,"Brown, Nathan",19y 151d,8 (4-0-4 50.00%),2 (0.25),←,
40,"Bryan, Chris",26y 71d,29 (10-1-18 36.21%),16 (0.55),13 (7-0-6 53.85%),7 (0.54)
17,"Burns, Scott",33y 145d,251 (113-1-137 45.22%),146 (0.58),←,
18,"Clarke, Martin",20y 185d,18 (10-0-8 55.56%),5 (0.28),←,
32,"Cloke, Travis",21y 72d,63 (33-0-30 52.38%),66 (1.05),←,
1,"Davis, Leon",26y 334d,147 (70-0-77 47.62%),183 (1.24),←,
4,"Didak, Alan",25y 91d,128 (71-0-57 55.47%),182 (1.42),←,
26,"Johnson, Ben",27y 41d,162 (85-0-77 52.47%),47 (0.29),←,
24,"Lockyer, Tarkyn",28y 199d,175 (83-0-92 47.43%),99 (0.57),←,
8,"Lumumba, Heritier",21y 183d,44 (25-0-19 56.82%),2 (0.05),←,
5,"Maxwell, Nick",24y 348d,79 (42-0-37 53.16%),18 (0.23),←,
7,"Medhurst, Paul",26y 157d,124 (64-0-60 51.61%),210 (1.69),25 (14-0-11 56.00%),44 (1.76)
11,"OBree, Shane",29y 62d,200 (99-0-101 49.50%),76 (0.38),181 (90-0-91 49.72%),73 (0.40)
10,"Pendlebury, Scott",20y 130d,40 (22-0-18 55.00%),27 (0.68),←,
23,"Rocca, Anthony",30y 275d,236 (115-0-121 48.73%),409 (1.73),214 (104-0-110 48.60%),398 (1.86)
39,"Shaw, Heath",22y 171d,61 (33-0-28 54.10%),13 (0.21),←,
22,"Shaw, Rhyce",26y 213d,82 (42-0-40 51.22%),16 (0.20),←,
36,"Swan, Dane",24y 81d,84 (43-0-41 51.19%),41 (0.49),←,
13,"Thomas, Dale",20y 330d,49 (28-0-21 57.14%),39 (0.80),←,
14,"Wakelin, Shane",33y 278d,240 (115-2-123 48.33%),20 (0.08),146 (74-0-72 50.68%),1 (0.01)
21,"Wellingham, Sharrod",19y 314d,2 (2-0-0 100.00%),1 (0.50),←,
19,"Wood, Cameron",21y 73d,24 (7-0-17 29.17%),2 (0.08),8 (4-0-4 50.00%),2 (0.25)
Totals,Totals,25y 11d,2246 (1116-4-1126 49.69%),1620 (0.72),,
C,"Malthouse, Mick",54y 273d,572 (319-4-249 56.12%),,194 (96-0-98 49.48%),
