Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",1,,6,7,,,,2.0,,,,,,,,,,,,,,,
18,"Cameron, Leon",13,,3,16,,,,2.0,,,,,1.0,1.0,,,,,,,,,
16,"Croft, Matthew",11,4,9,20,,1.0,8.0,1.0,,,,,2.0,1.0,,,,,,,,,
3,"Grant, Chris",8,4,2,10,2,2.0,4.0,1.0,,,,,3.0,1.0,,,,,,,,,
1,"Grgic, Ilija",8,5,10,18,1,1.0,10.0,2.0,,,,,1.0,2.0,,,,,,,,,
7,"Hawkins, Doug",5,1,,5,1,1.0,,,,,,,,,,,,,,,,,
10,"Hunter, Mark",16,4,2,18,1,,,3.0,,,,,2.0,,,,,,,,,,
33,"Johnson, Brad",10,2,3,13,,,,1.0,,,,,,1.0,,,,,,,,,
21,"Kolyniuk, Steven",9,3,6,15,1,1.0,,1.0,,,,,,2.0,,,,,,,,,
12,"Koster, Kym",6,5,5,11,,,,2.0,,,,,,1.0,,,,,,,,,
35,"Kretiuk, Steven",6,4,3,9,,,,,,,,,2.0,3.0,,,,,,,,,
39,"Liberatore, Tony",14,,4,18,,,,6.0,,,,,3.0,,,,,,,,,,
27,"Macpherson, Stephen",2,2,4,6,,,,1.0,,,,,,1.0,,,,,,,,,
44,"Osborne, Richard",5,2,,5,3,,,,,,,,1.0,2.0,,,,,,,,,
22,"Quill, Peter",9,2,1,10,3,,,,,,,,1.0,,,,,,,,,,
2,"Reynolds, Keenan",9,6,3,12,,,,,,,,,,,,,,,,,,,
8,"Southern, Daniel",8,3,4,12,,,1.0,2.0,,,,,,3.0,1.0,,,,,,,,
17,"Standfield, Barry",12,6,5,17,,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,
24,"Wallis, Stephen",9,3,7,16,,,,,,,,,1.0,,,,,,,,,,
25,"Watts, Jason",9,3,,9,,,,2.0,,,,,,,,,,,,,,,
14,"West, Scott",20,1,8,28,,,,2.0,,,,,6.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,190,60,85,275,12,10.0,23.0,29.0,,,,,25.0,19.0,1.0,,,,,,,,
Opposition,Opposition,203,59,97,300,15,12.0,19.0,19.0,,,,,19.0,25.0,5.0,,,,,,,,
