West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Braun, Michael",9,3,2.0,11,,,,1.0,1.0,5.0,2.0,4.0,,1.0,,3,6,,,4.0,,,77.0
20,"Cox, Dean",11,5,13.0,24,,,31.0,1.0,2.0,6.0,4.0,2.0,,,,9,16,,,5.0,,,75.0
45,"Davis, Ryan",5,3,4.0,9,1.0,,,1.0,1.0,2.0,1.0,3.0,,1.0,,2,7,,,,,,43.0
18,"Ebert, Brad",9,3,5.0,14,,,,6.0,3.0,2.0,1.0,1.0,,1.0,,5,8,,,2.0,,,74.0
32,"Embley, Andrew",17,8,8.0,25,,3.0,,1.0,4.0,5.0,,,,,,6,18,,,5.0,2.0,,96.0
7,"Fletcher, Chad",17,10,12.0,29,,,,2.0,4.0,4.0,5.0,1.0,1.0,1.0,,6,24,,,1.0,,,86.0
23,"Glass, Darren",4,2,9.0,13,,,,1.0,2.0,,2.0,,,,,8,5,,,3.0,,,92.0
22,"Graham, Jaymie",6,4,5.0,11,,,,2.0,2.0,,2.0,2.0,,1.0,,2,8,,,5.0,,,69.0
38,"Jones, Brett",7,1,1.0,8,,,,1.0,,,,4.0,3.0,1.0,,4,5,,,4.0,,,86.0
17,"Kennedy, Josh",8,7,6.0,14,2.0,1.0,,,,4.0,,,2.0,,,6,8,,2.0,2.0,,1.0,89.0
21,"Lynch, Quinten",8,3,,8,2.0,1.0,,2.0,,4.0,,1.0,,1.0,,2,5,1.0,2.0,1.0,,1.0,87.0
13,"Masten, Chris",10,4,11.0,21,,,,2.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,9,13,,,2.0,,1.0,75.0
27,"McKinley, Ben",8,3,5.0,13,2.0,1.0,,1.0,,4.0,,,,,,5,9,,1.0,,1.0,,86.0
6,"Nicoski, Mark",6,1,3.0,9,,,,2.0,1.0,2.0,,4.0,,2.0,,2,7,,,1.0,,,88.0
11,"Priddis, Matt",13,2,9.0,22,,,,4.0,3.0,3.0,9.0,4.0,2.0,,1.0,12,9,,,,1.0,,80.0
24,"Rosa, Matt",11,3,10.0,21,,,,3.0,,2.0,3.0,2.0,1.0,1.0,,11,9,,,2.0,,,95.0
31,"Schofield, Will",6,1,4.0,10,,,,2.0,3.0,,1.0,1.0,1.0,1.0,,4,6,,,8.0,1.0,,98.0
14,"Seaby, Mark",3,1,2.0,5,,1.0,11.0,4.0,,,1.0,,1.0,,,1,4,,,,,,45.0
37,"Selwood, Adam",14,6,8.0,22,,,,2.0,2.0,3.0,1.0,,2.0,,,8,15,,,1.0,2.0,1.0,86.0
41,"Staker, Brent",13,3,5.0,18,3.0,2.0,,2.0,,3.0,1.0,2.0,3.0,1.0,,10,6,1.0,1.0,1.0,,,93.0
5,"Stenglein, Tyson",8,3,6.0,14,1.0,,,6.0,3.0,,2.0,1.0,1.0,,,9,6,1.0,,1.0,,,85.0
44,"Wirrpanda, David",15,7,2.0,17,1.0,2.0,,3.0,,2.0,1.0,3.0,1.0,1.0,,4,14,,1.0,,,1.0,95.0
Totals,Totals,208,83,130.0,338,12.0,11.0,42.0,49.0,33.0,55.0,40.0,38.0,19.0,15.0,3.0,128,208,3.0,7.0,48.0,7.0,5.0,
Opposition,Opposition,198,84,129.0,327,13.0,11.0,35.0,74.0,41.0,51.0,38.0,49.0,15.0,19.0,3.0,124,199,6.0,19.0,52.0,9.0,8.0,
