Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
24,"Allan, Matthew",26y 153d,125 (70-0-55 56.00%),70 (0.56),←,
29,"Beaumont, Simon",25y 228d,101 (60-0-41 59.41%),71 (0.70),←,
21,"Bradley, Craig",37y 279d,349 (213-2-134 61.32%),235 (0.67),←,
16,"Camporeale, Scott",25y 352d,144 (90-0-54 62.50%),141 (0.98),←,
39,"Christou, Ang",29y 194d,137 (95-1-41 69.71%),19 (0.14),←,
48,"Doering, Jordan",21y 318d,7 (4-0-3 57.14%),4 (0.57),←,
31,"Fletcher, Simon",22y 346d,47 (30-0-17 63.83%),23 (0.49),←,
45,"Franchina, Anthony",23y 291d,67 (39-0-28 58.21%),20 (0.30),←,
9,"Hickmott, Adrian",29y 121d,145 (93-0-52 64.14%),91 (0.63),95 (61-0-34 64.21%),67 (0.71)
37,"Hotton, Trent",27y 240d,59 (31-0-28 52.54%),45 (0.76),42 (27-0-15 64.29%),31 (0.74)
33,"Houlihan, Ryan",19y 189d,29 (17-0-12 58.62%),27 (0.93),←,
27,"Hulme, Darren",24y 19d,75 (38-0-37 50.67%),41 (0.55),←,
12,"Lappin, Matthew",25y 162d,120 (66-1-53 55.42%),124 (1.03),65 (38-0-27 58.46%),98 (1.51)
10,"Mansfield, Michael",29y 355d,214 (125-1-88 58.64%),113 (0.53),33 (22-0-11 66.67%),13 (0.39)
22,"Manton, Glenn",28y 58d,157 (93-0-64 59.24%),34 (0.22),136 (82-0-54 60.29%),30 (0.22)
5,"McKay, Andrew",31y 15d,196 (120-1-75 61.48%),27 (0.14),←,
15,"Nelson, Ben",24y 187d,39 (22-0-17 56.41%),6 (0.15),←,
40,"Plunkett, Jim",23y 3d,18 (9-0-9 50.00%),3 (0.17),8 (4-0-4 50.00%),2 (0.25)
28,"Prendergast, Ian",20y 330d,1 (0-0-1 0.00%),,←,
7,"Ratten, Brett",30y 18d,231 (136-0-95 58.87%),102 (0.44),←,
23,"Rice, Dean",33y 134d,231 (112-1-118 48.70%),85 (0.37),115 (67-0-48 58.26%),42 (0.37)
1,"Silvagni, Stephen",34y 59d,305 (193-1-111 63.44%),201 (0.66),←,
Totals,Totals,27y 18d,2797 (1656-8-1133 59.21%),1482 (0.53),,
C,"Brittain, Wayne",43y 46d,17 (10-0-7 58.82%),,←,
