Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
12,"Ball, Luke",26y 362d,174 (116-1-57 66.95%),71 (0.41),32 (26-1-5 82.81%),13 (0.41)
17,"Beams, Dayne",21y 99d,49 (36-2-11 75.51%),50 (1.02),←,
11,"Blair, Jarryd",21y 38d,20 (17-1-2 87.50%),19 (0.95),←,
27,"Buckley, Simon",24y 34d,26 (7-0-19 26.92%),6 (0.23),5 (4-0-1 80.00%),3 (0.60)
32,"Cloke, Travis",24y 78d,132 (81-2-49 62.12%),173 (1.31),←,
1,"Davis, Leon",29y 339d,210 (114-2-94 54.76%),263 (1.25),←,
31,"Dawes, Chris",23y 6d,38 (31-1-6 82.89%),56 (1.47),←,
4,"Didak, Alan",28y 96d,190 (117-1-72 61.84%),263 (1.38),←,
6,"Goldsack, Tyson",24y,58 (36-0-22 62.07%),6 (0.10),←,
7,"Krakouer, Andrew",28y 107d,109 (40-0-69 36.70%),112 (1.03),7 (6-0-1 85.71%),10 (1.43)
8,"Lumumba, Heritier",24y 188d,119 (77-2-40 65.55%),15 (0.13),←,
5,"Maxwell, Nick",27y 353d,145 (87-2-56 60.69%),26 (0.18),←,
3,"McCarthy, John",21y 184d,11 (5-0-6 45.45%),5 (0.45),←,
10,"Pendlebury, Scott",23y 135d,110 (71-2-37 65.45%),67 (0.61),←,
20,"Reid, Ben",22y 23d,37 (24-2-11 67.57%),3 (0.08),←,
39,"Shaw, Heath",25y 176d,123 (77-2-44 63.41%),26 (0.21),←,
22,"Sidebottom, Steele",20y 140d,44 (33-2-9 77.27%),38 (0.86),←,
36,"Swan, Dane",27y 86d,159 (95-2-62 60.38%),112 (0.70),←,
2,"Tarrant, Chris",30y 246d,240 (109-0-131 45.42%),361 (1.50),168 (81-0-87 48.21%),301 (1.79)
13,"Thomas, Dale",23y 335d,119 (77-2-40 65.55%),92 (0.77),←,
21,"Wellingham, Sharrod",22y 319d,60 (43-2-15 73.33%),29 (0.48),←,
19,"Wood, Cameron",24y 79d,50 (23-0-27 46.00%),14 (0.28),34 (20-0-14 58.82%),14 (0.41)
Totals,Totals,24y 288d,2223 (1316-28-879 59.20%),1807 (0.81),,
C,"Malthouse, Mick",57y 278d,647 (371-6-270 57.81%),,269 (148-2-119 55.39%),
