Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
7,"Baker, Liam",24y 92d,71 (45-2-24 64.79%),23 (0.32),←,
21,"Balta, Noah",22y 188d,51 (32-0-19 62.75%),18 (0.35),←,
29,"Bolton, Shai",23y 142d,74 (46-2-26 63.51%),71 (0.96),←,
35,"Broad, Nathan",29y 14d,91 (65-1-25 71.98%),1 (0.01),←,
11,"Castagna, Jason",25y 291d,125 (81-2-42 65.60%),122 (0.98),←,
26,"Collier-Dawkins, Riley",22y 85d,11 (5-1-5 50.00%),3 (0.27),←,
10,"Edwards, Shane",33y 186d,288 (147-6-135 52.08%),176 (0.61),←,
28,"Gibcus, Josh",19y 25d,6 (3-0-3 50.00%),,←,
34,"Graham, Jack",24y 63d,84 (56-2-26 67.86%),34 (0.40),←,
2,"Grimes, Dylan",30y 287d,195 (122-2-71 63.08%),3 (0.02),←,
23,"Lambert, Kane",30y 154d,129 (86-1-42 67.05%),77 (0.60),←,
19,"Lynch, Tom",29y 180d,200 (80-3-117 40.75%),405 (2.03),69 (43-2-24 63.77%),151 (2.19)
33,"McIntosh, Kamdyn",28y 26d,130 (85-1-44 65.77%),36 (0.28),←,
25,"Nankervis, Toby",27y 260d,105 (72-0-33 68.57%),33 (0.31),93 (65-0-28 69.89%),30 (0.32)
3,"Prestia, Dion",29y 199d,178 (85-1-92 48.03%),58 (0.33),83 (59-1-23 71.69%),28 (0.34)
8,"Riewoldt, Jack",33y 180d,310 (162-6-142 53.23%),726 (2.34),←,
17,"Rioli, Daniel",25y 13d,121 (76-2-43 63.64%),90 (0.74),←,
49,"Rioli, Maurice",19y 240d,3 (2-0-1 66.67%),5 (1.67),←,
5,"Ross, Jack",21y 238d,36 (19-1-16 54.17%),3 (0.08),←,
15,"Short, Jayden",26y 95d,121 (75-2-44 62.81%),22 (0.18),←,
20,"Soldo, Ivan",26y 15d,40 (29-1-10 73.75%),12 (0.30),←,
44,"Stack, Sydney",22y 1d,34 (20-2-12 61.76%),14 (0.41),←,
1,"Vlastuin, Nick",28y 10d,176 (111-2-63 63.64%),27 (0.15),←,
Totals,Totals,26y 66d,2579 (1504-40-1035 58.32%),1959 (0.76),,
C,"Hardwick, Damien",49y 254d,281 (157-4-120 56.58%),,←,
