Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
11,"Aish, James",26y 179d,127 (55-0-72 43.31%),24 (0.19),45 (22-0-23 48.89%),1 (0.02)
24,"Amiss, Jye",18y 279d,1 (1-0-0 100.00%),2 (2.00),←,
41,"Banfield, Bailey",24y 69d,46 (21-0-25 45.65%),19 (0.41),←,
8,"Brayshaw, Andrew",22y 179d,84 (37-0-47 44.05%),23 (0.27),←,
17,"Brodie, Will",23y 256d,33 (10-0-23 30.30%),4 (0.12),8 (7-0-1 87.50%),1 (0.13)
27,"Chapman, Heath",20y 95d,12 (9-0-3 75.00%),1 (0.08),←,
6,"Clark, Jordan",21y 202d,40 (28-0-12 70.00%),17 (0.43),8 (7-0-1 87.50%),2 (0.25)
36,"Cox, Brennan",23y 266d,66 (28-0-38 42.42%),28 (0.42),←,
4,"Darcy, Sean",23y 328d,67 (28-0-39 41.79%),29 (0.43),←,
28,"Erasmus, Neil",18y 155d,3 (3-0-0 100.00%),,←,
23,"Henry, Liam",20y 251d,22 (9-0-13 40.91%),11 (0.50),←,
16,"Mundy, David",36y 290d,360 (183-1-176 50.97%),157 (0.44),←,
30,"ODriscoll, Nathan",19y 354d,7 (6-0-1 85.71%),6 (0.86),←,
25,"Pearce, Alex",26y 331d,70 (32-0-38 45.71%),3 (0.04),←,
13,"Ryan, Luke",26y 89d,93 (42-0-51 45.16%),3 (0.03),←,
5,"Schultz, Lachie",24y 157d,51 (24-0-27 47.06%),50 (0.98),←,
3,"Serong, Caleb",21y 86d,42 (22-0-20 52.38%),10 (0.24),←,
39,"Switkowski, Sam",25y 167d,40 (20-0-20 50.00%),26 (0.65),←,
35,"Treacy, Josh",19y 275d,18 (12-0-6 66.67%),14 (0.78),←,
18,"Tucker, Darcy",25y 103d,101 (36-0-65 35.64%),35 (0.35),←,
31,"Walker, Brandon",19y 201d,16 (11-0-5 68.75%),,←,
10,"Walters, Michael",31y 119d,189 (94-1-94 50.00%),296 (1.57),←,
26,"Young, Hayden",21y 25d,19 (10-0-9 52.63%),1 (0.05),←,
Totals,Totals,23y 210d,1507 (721-2-784 47.84%),759 (0.50),,
C,"Longmuir, Justin",41y 105d,45 (22-0-23 48.89%),,←,
