St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
11,"Antrobus, Tony",28y 364d,23 (18-0-5 78.26%),29 (1.26),1 (1-0-0 100.00%),3 (3.00)
29,"Burke, Nathan",21y 60d,76 (26-0-50 34.21%),22 (0.29),←,
15,"Coghlan, Frank",28y 158d,77 (22-0-55 28.57%),22 (0.29),←,
14,"Craven, Danny",23y 339d,8 (4-0-4 50.00%),,←,
34,"Daniels, Jayson",20y 47d,56 (17-0-39 30.36%),17 (0.30),←,
33,"Davies, Darren",25y 175d,39 (18-0-21 46.15%),39 (1.00),2 (1-0-1 50.00%),4 (2.00)
20,"Dwyer, Mick",22y 142d,49 (14-0-35 28.57%),38 (0.78),←,
2,"Frawley, Danny",27y 211d,147 (39-0-108 26.53%),10 (0.07),←,
10,"Harding, Paul",26y 307d,57 (25-0-32 43.86%),5 (0.09),46 (18-0-28 39.13%),3 (0.07)
35,"Harvey, Robert",19y 229d,37 (14-0-23 37.84%),33 (0.89),←,
9,"Kitschke, Damian",24y 329d,17 (7-0-10 41.18%),9 (0.53),←,
23,"Loewe, Stewart",22y 319d,98 (32-0-66 32.65%),113 (1.15),←,
5,"McAdam, Gilbert",24y 8d,3 (2-0-1 66.67%),3 (1.00),←,
12,"Morris, Russell",28y 310d,96 (73-1-22 76.56%),59 (0.61),3 (2-0-1 66.67%),7 (2.33)
25,"Muller, Ian",25y 258d,21 (12-0-9 57.14%),1 (0.05),15 (8-0-7 53.33%),1 (0.07)
1,"Newport, Stephen",25y 153d,104 (56-0-48 53.85%),58 (0.56),3 (2-0-1 66.67%),
41,"Pekin, Tim",26y 75d,131 (60-0-71 45.80%),29 (0.22),24 (11-0-13 45.83%),14 (0.58)
37,"Rice, Dean",23y 21d,85 (30-0-55 35.29%),22 (0.26),←,
26,"Taylor, Kain",23y 175d,45 (13-0-32 28.89%),12 (0.27),←,
17,"Wilson, Brian",29y 189d,205 (99-1-105 48.54%),238 (1.16),3 (2-0-1 66.67%),8 (2.67)
Totals,Totals,24y 340d,1374 (581-2-791 42.29%),759 (0.55),,
C,"Sheldon, Ken",31y 97d,25 (11-0-14 44.00%),,←,
