Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
30,"Bourke, David",25y 179d,77 (41-0-36 53.25%),17 (0.22),←,
11,"Bowden, Joel",23y 16d,94 (50-0-44 53.19%),93 (0.99),←,
17,"Broderick, Paul",31y 185d,251 (124-1-126 49.60%),162 (0.65),158 (85-1-72 54.11%),82 (0.52)
15,"Cameron, Leon",28y 308d,205 (111-3-91 54.88%),83 (0.40),33 (18-0-15 54.55%),15 (0.45)
9,"Campbell, Wayne",28y 287d,214 (100-1-113 46.96%),132 (0.62),←,
6,"Chaffey, Mark",24y 62d,72 (35-0-37 48.61%),19 (0.26),←,
10,"Daffy, Nick",28y 57d,163 (85-1-77 52.45%),181 (1.11),←,
2,"Gaspar, Darren",25y 48d,135 (63-0-72 46.67%),12 (0.09),114 (56-0-58 49.12%),11 (0.10)
20,"Hall, Ray",20y 253d,14 (10-0-4 71.43%),7 (0.50),←,
16,"Holland, Ben",24y 58d,101 (52-0-49 51.49%),111 (1.10),←,
39,"Kellaway, Andrew",25y 226d,70 (36-0-34 51.43%),14 (0.20),←,
21,"King, Clinton",23y 105d,49 (22-0-27 44.90%),16 (0.33),18 (12-0-6 66.67%),3 (0.17)
33,"Knights, Matthew",30y 275d,252 (107-0-145 42.46%),133 (0.53),←,
34,"Mills, Andrew",20y 19d,8 (6-0-2 75.00%),3 (0.38),←,
5,"Ottens, Brad",21y 163d,68 (34-0-34 50.00%),77 (1.13),←,
8,"Pettifer, Kayne",19y 166d,3 (2-0-1 66.67%),4 (1.33),←,
12,"Richardson, Matthew",26y 110d,133 (65-0-68 48.87%),416 (3.13),←,
4,"Rogers, Matthew",27y 224d,149 (81-1-67 54.70%),139 (0.93),←,
19,"Sziller, Steven",28y 204d,130 (60-1-69 46.54%),38 (0.29),12 (7-0-5 58.33%),
32,"Tivendale, Greg",22y 79d,48 (24-0-24 50.00%),33 (0.69),←,
29,"Torney, Jason",24y 21d,85 (45-1-39 53.53%),9 (0.11),←,
41,"Vardy, Royce",21y 65d,19 (12-0-7 63.16%),,←,
Totals,Totals,25y 9d,2340 (1165-9-1166 49.79%),1699 (0.73),,
C,"Frawley, Danny",37y 302d,36 (20-0-16 55.56%),,←,
