West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Ball, Jason",6,3,2,8,,1.0,3.0,,,1.0,3.0,2.0,1.0,3.0,,,,,,,,,
10,"Braun, Michael",4,1,2,6,,,,3.0,,2.0,,1.0,,,,,,,,,,,
9,"Cousins, Ben",16,5,9,25,2,1.0,,,,6.0,2.0,2.0,1.0,1.0,,,,,,,,,
18,"Evans, Tony",4,1,2,6,,,,1.0,1.0,2.0,,,1.0,,,,,,,,,,
19,"Gardiner, Michael",6,3,3,9,,1.0,17.0,,,5.0,3.0,2.0,,,,,,,,,,,
7,"Gehrig, Fraser",12,12,5,17,6,3.0,1.0,1.0,,6.0,,3.0,2.0,2.0,1.0,,,,,,,,
27,"Jakovich, Glen",11,6,10,21,1,,2.0,,4.0,,1.0,2.0,1.0,2.0,,,,,,,,,
2,"Kemp, Dean",15,5,15,30,,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,,,,,,,,,
28,"Lewis, Chris",14,4,9,23,1,,1.0,2.0,1.0,6.0,3.0,1.0,1.0,,,,,,,,,,
30,"Matera, Peter",11,2,5,16,1,,1.0,3.0,,3.0,1.0,2.0,1.0,1.0,,,,,,,,,
33,"Matera, Phillip",2,1,4,6,1,,,2.0,,1.0,,1.0,,2.0,,,,,,,,,
11,"McIntosh, Ashley",9,2,1,10,,,,,6.0,1.0,,,,,,,,,,,,,
17,"McKenna, Guy",11,2,11,22,,,1.0,2.0,3.0,1.0,,2.0,3.0,1.0,,,,,,,,,
42,"Morrison, Chad",14,6,4,18,2,2.0,,,,4.0,,2.0,1.0,,,,,,,,,,
36,"Read, Phillip",4,,3,7,,,,2.0,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,
21,"Schofield, Jarrad",5,1,2,7,,1.0,,,,3.0,1.0,2.0,1.0,2.0,,,,,,,,,
16,"Symmons, Paul",6,1,6,12,,,,2.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,
50,"Turnbull, Ryan",4,1,3,7,,1.0,6.0,,,1.0,,1.0,,,,,,,,,,,
39,"Waterman, Chris",16,7,6,22,,,,,4.0,1.0,,,2.0,,,,,,,,,,
12,"White, Mitchell",4,4,7,11,,,,,,2.0,,2.0,1.0,,,,,,,,,,
13,"Wooden, Josh",8,1,3,11,,,,2.0,4.0,2.0,2.0,6.0,1.0,3.0,,,,,,,,,
24,"Worsfold, John",7,1,1,8,,,,,3.0,,,1.0,2.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,189,69,113,302,14,15.0,33.0,22.0,30.0,53.0,22.0,36.0,23.0,20.0,1.0,,,,,,,,
Opposition,Opposition,198,76,98,296,18,10.0,49.0,22.0,30.0,49.0,22.0,18.0,20.0,23.0,5.0,,,,,,,,
