North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
11,"Archer, Glenn",19y 145d,7 (2-0-5 28.57%),1 (0.14),←,
48,"Attard, Mark",18y 18d,1 (0-0-1 0.00%),1 (1.00),←,
14,"Buckley, Ben",25y 48d,66 (26-0-40 39.39%),15 (0.23),←,
18,"Carey, Wayne",21y 81d,58 (27-0-31 46.55%),104 (1.79),←,
27,"Crocker, Darren",25y 143d,101 (44-1-56 44.06%),63 (0.62),←,
28,"Dwyer, Anthony",22y 228d,17 (5-0-12 29.41%),21 (1.24),←,
29,"German, Peter",27y 196d,159 (76-3-80 48.74%),188 (1.18),←,
26,"Ishchenko, Alex",28y 118d,86 (31-0-55 36.05%),28 (0.33),14 (5-0-9 35.71%),3 (0.21)
35,"Longmire, John",21y 229d,88 (38-1-49 43.75%),278 (3.16),←,
20,"Mann, Peter",21y 344d,12 (3-0-9 25.00%),6 (0.50),←,
38,"McCarthy, Adam",20y 184d,6 (2-0-4 33.33%),1 (0.17),←,
16,"McCarthy, John",25y 139d,90 (37-1-52 41.67%),98 (1.09),←,
25,"McDonald, Donald",30y 98d,155 (73-3-79 48.06%),165 (1.06),←,
2,"Schwass, Wayne",23y 263d,77 (33-0-44 42.86%),38 (0.49),←,
24,"Sholl, Craig",24y 230d,62 (30-0-32 48.39%),11 (0.18),←,
15,"Smith, Ross",27y 195d,149 (67-2-80 45.64%),32 (0.21),←,
32,"Smith, Shaun",23y 55d,46 (27-1-18 59.78%),35 (0.76),←,
1,"Spargo, Paul",25y 312d,79 (36-2-41 46.84%),109 (1.38),←,
17,"Staritski, Justin",22y 37d,23 (11-0-12 47.83%),4 (0.17),←,
10,"Stevens, Anthony",21y 45d,40 (18-0-22 45.00%),15 (0.38),←,
Totals,Totals,23y 283d,1322 (586-14-722 44.33%),1213 (0.92),,
C,"Schimmelbusch, Wayne",39y 210d,64 (30-0-34 46.88%),,←,
