Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Adcock, Jed",17,10,4,21,,,,6.0,6.0,2.0,1.0,3.0,1.0,1.0,,6.0,15.0,,,5.0,1.0,1.0,93.0
17 ↑,"Beams, Claye",1,1,3,4,,,,3.0,,1.0,,1.0,,,,1.0,3.0,1.0,1.0,,,,20.0
43,"Bewick, Rohan",8,5,6,14,1,1.0,,1.0,2.0,2.0,2.0,2.0,1.0,,,4.0,10.0,,1.0,,,,69.0
16,"Brown, Jonathan",8,3,5,13,2,1.0,,1.0,,2.0,,5.0,2.0,2.0,,7.0,6.0,,2.0,,,1.0,94.0
47,"Crisp, Jack",9,5,6,15,1,1.0,,3.0,,3.0,,,,,,3.0,12.0,,1.0,3.0,2.0,2.0,92.0
39,"Drummond, Josh",17,7,5,22,,,,2.0,6.0,3.0,1.0,7.0,,2.0,,5.0,15.0,1.0,,5.0,,,84.0
6 ↓,"Green, Josh",2,,3,5,,,,,,,,,,,,3.0,2.0,,,2.0,,,61.0
11,"Hanley, Pearce",22,5,12,34,,,2.0,3.0,4.0,4.0,4.0,3.0,,,,9.0,23.0,,,,2.0,,80.0
2,"Harwood, Ryan",13,8,9,22,,,,1.0,5.0,,1.0,2.0,2.0,1.0,,7.0,15.0,1.0,,,,,84.0
22,"Hudson, Ben",4,1,12,16,,,24.0,2.0,1.0,,4.0,3.0,1.0,2.0,,12.0,6.0,,,2.0,,,84.0
28,"Karnezis, Patrick",9,11,4,13,2,1.0,,3.0,,1.0,,2.0,,1.0,,3.0,10.0,2.0,5.0,3.0,,3.0,84.0
35,"Lester, Ryan",8,5,5,13,,,,2.0,1.0,2.0,1.0,3.0,1.0,1.0,,5.0,8.0,1.0,,2.0,,,91.0
40,"McKeever, Niall",4,2,8,12,,,,2.0,1.0,1.0,,1.0,,,,4.0,8.0,,,9.0,,,98.0
21,"Merrett, Daniel",7,6,5,12,,,1.0,2.0,1.0,,,2.0,1.0,2.0,,7.0,5.0,3.0,,4.0,,,89.0
24,"Patfull, Joel",7,4,9,16,,,,3.0,2.0,1.0,,5.0,,1.0,,9.0,8.0,,,2.0,,,96.0
31,"Polkinghorne, James",7,4,5,12,,1.0,1.0,1.0,,4.0,1.0,4.0,,2.0,,4.0,8.0,1.0,,1.0,,,88.0
29,"Raines, Andrew",7,1,13,20,1,,,3.0,,2.0,1.0,2.0,,2.0,,8.0,12.0,,,,,,79.0
30,"Redden, Jack",7,5,13,20,,,,3.0,1.0,,3.0,4.0,1.0,3.0,,10.0,11.0,,,2.0,,,85.0
10,"Rich, Daniel",13,4,5,18,2,,2.0,,1.0,6.0,4.0,1.0,1.0,,,9.0,11.0,,,2.0,,,80.0
38,"Rockliff, Tom",14,5,13,27,,1.0,,4.0,3.0,1.0,6.0,6.0,2.0,2.0,,12.0,14.0,,,,,,78.0
32,"Stiller, Cheynee",11,6,3,14,,,,,3.0,,,,2.0,,,4.0,10.0,,,2.0,,,94.0
15,"Zorko, Dayne",15,10,16,31,,2.0,1.0,8.0,2.0,7.0,2.0,3.0,1.0,1.0,,12.0,19.0,1.0,3.0,2.0,,1.0,78.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,210,108,164,374,9,9.0,31.0,53.0,39.0,42.0,31.0,59.0,16.0,23.0,,144.0,231.0,11.0,13.0,46.0,5.0,8.0,
Opposition,Opposition,201,86,180,381,16,14.0,46.0,60.0,31.0,58.0,41.0,43.0,24.0,16.0,6.0,147.0,231.0,12.0,16.0,66.0,7.0,9.0,
