North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Anderson, Jed",11,1,5,16,1,1.0,,5.0,,3.0,2.0,2.0,3.0,,,8.0,9.0,,1.0,2.0,,,73.0
18,"Atley, Shaun",8,1,9,17,,3.0,,3.0,,3.0,,1.0,2.0,1.0,,9.0,8.0,,1.0,,,1.0,80.0
50,"Brown, Ben",8,3,3,11,6,1.0,8.0,1.0,,,1.0,1.0,1.0,,,6.0,6.0,2.0,3.0,1.0,,,94.0
13,"Clarke, Ryan",5,2,2,7,,,,,2.0,,,2.0,1.0,1.0,,2.0,6.0,,1.0,,,1.0,79.0
10,"Cunnington, Ben",11,4,10,21,1,,,1.0,,1.0,4.0,3.0,2.0,2.0,,10.0,13.0,,1.0,,,1.0,71.0
9,"Davies-Uniacke, Luke",7,3,9,16,,,,5.0,1.0,,4.0,1.0,2.0,,,9.0,8.0,,,1.0,,,66.0
14,"Dumont, Trent",8,3,9,17,,1.0,,4.0,3.0,1.0,1.0,3.0,1.0,1.0,,7.0,11.0,,1.0,1.0,,,75.0
22,"Goldstein, Todd",7,6,9,16,,1.0,38.0,5.0,1.0,3.0,,1.0,1.0,,,7.0,10.0,1.0,1.0,5.0,,,86.0
39,"Hartung, Billy",16,9,8,24,1,1.0,,2.0,2.0,4.0,2.0,3.0,1.0,,,7.0,16.0,1.0,1.0,,1.0,,84.0
4,"Higgins, Shaun",18,2,6,24,,2.0,,5.0,1.0,9.0,5.0,4.0,1.0,3.0,,11.0,12.0,,1.0,1.0,,2.0,84.0
8,"Hrovat, Nathan",7,2,14,21,1,1.0,,,1.0,2.0,1.0,4.0,,1.0,,9.0,12.0,,2.0,,,,83.0
5,"Jacobs, Ben",11,4,7,18,1,,,10.0,3.0,2.0,2.0,,2.0,,,8.0,9.0,,,1.0,,,78.0
34,"Macmillan, Jamie",10,4,5,15,,,,1.0,2.0,4.0,,3.0,2.0,,,6.0,8.0,,,5.0,3.0,,90.0
11,"McDonald, Luke",15,8,4,19,,1.0,,2.0,4.0,4.0,,2.0,,1.0,,5.0,14.0,,1.0,1.0,,,86.0
12,"Simpkin, Jy",11,5,4,15,,1.0,,3.0,1.0,3.0,2.0,5.0,,1.0,,6.0,8.0,1.0,,1.0,,,67.0
25,"Tarrant, Robbie",12,6,6,18,,,,,4.0,2.0,,7.0,,2.0,,5.0,13.0,2.0,,7.0,,1.0,93.0
16,"Thompson, Scott",9,6,3,12,,,,3.0,2.0,4.0,,2.0,1.0,,,6.0,6.0,2.0,,6.0,,,92.0
28,"Turner, Kayne",5,4,6,11,1,,,2.0,,1.0,,1.0,1.0,1.0,,5.0,7.0,1.0,,1.0,,,84.0
33,"Vickers-Willis, Ed",3,3,3,6,,,,3.0,1.0,,,,,,,1.0,5.0,,,2.0,,,90.0
30,"Waite, Jarrad",21,13,3,24,1,2.0,5.0,6.0,,13.0,1.0,4.0,1.0,,2.0,7.0,16.0,3.0,2.0,,,2.0,85.0
2,"Williams, Marley",7,3,7,14,,,,,,2.0,1.0,3.0,,1.0,3.0,5.0,10.0,,,3.0,,,78.0
7,"Ziebell, Jack",12,8,10,22,,1.0,,4.0,3.0,5.0,4.0,4.0,1.0,1.0,,11.0,12.0,,1.0,2.0,,1.0,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,222,100,142,364,13,17.0,51.0,65.0,31.0,66.0,30.0,56.0,23.0,16.0,5.0,150.0,219.0,13.0,17.0,40.0,4.0,9.0,
Opposition,Opposition,192,87,180,372,5,13.0,19.0,75.0,49.0,41.0,28.0,66.0,16.0,23.0,1.0,119.0,259.0,9.0,9.0,50.0,17.0,3.0,
