Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
28,"Crosisca, Gavin",12,3,6,18,,,,3.0,,,,,3.0,3.0,,,,,,,,,
2,"Francis, Tony",9,,5,14,,2.0,,4.0,,,,,1.0,4.0,,,,,,,,,
23,"Kelly, Craig",3,3,6,9,2,1.0,3.0,2.0,,,,,,1.0,,,,,,,,,
44,"Kerrison, Shane",3,3,12,15,,,,5.0,,,,,,,,,,,,,,,
12,"McCartney, Jason",6,4,8,14,,,1.0,1.0,,,,,,1.0,,,,,,,,,
34,"McGuane, Mick",9,3,4,13,1,,,,,,,,,3.0,,,,,,,,,
6,"Mitchell, Barry",4,,3,7,,,,1.0,,,,,,2.0,,,,,,,,,
1,"Monkhorst, Damian",20,17,17,37,1,,21.0,2.0,,,,,,,3.0,,,,,,,,
7,"Morwood, Shane",5,3,4,9,,,,,,,,,,2.0,,,,,,,,,
4,"Pert, Gary",8,,5,13,,,,2.0,,,,,1.0,2.0,,,,,,,,,
13,"Richardson, Alan",17,3,11,28,,,,2.0,,,,,2.0,,2.0,,,,,,,,
36,"Rocca, Saverio",12,9,3,15,10,2.0,,1.0,,,,,1.0,,1.0,,,,,,,,
32,"Rowe, Brad",10,2,1,11,3,3.0,,4.0,,,,,1.0,,,,,,,,,,
29,"Russell, Scott",15,4,8,23,3,,,2.0,,,,,,2.0,,,,,,,,,
31,"Saunders, Darren",16,2,10,26,,,,2.0,,,,,2.0,1.0,,,,,,,,,
22,"Shaw, Tony",10,4,9,19,,,,5.0,,,,,1.0,,,,,,,,,,
27,"Starcevich, Craig",12,7,8,20,2,1.0,,1.0,,,,,,,,,,,,,,,
14,"Watson, Shane",12,5,7,19,,2.0,,4.0,,,,,,1.0,,,,,,,,,
10,"Williams, Paul",3,1,8,11,,1.0,,1.0,,,,,,,,,,,,,,,
19,"Wright, Graham",16,2,4,20,,,,2.0,,,,,2.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,202,75,139,341,22,15.0,25.0,44.0,,,,,14.0,23.0,6.0,,,,,,,,
Opposition,Opposition,192,74,116,308,17,15.0,16.0,20.0,,,,,23.0,14.0,,,,,,,,,
