St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Acres, Blake",8,4,11,19,,,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,,10.0,9.0,,,2.0,,,71.0
15,"Billings, Jack",9,3,6,15,1,3.0,,3.0,,3.0,,4.0,1.0,2.0,,7.0,10.0,1.0,1.0,1.0,,,81.0
22,"Brown, Nathan",3,2,10,13,,,,2.0,2.0,,,3.0,1.0,2.0,,5.0,7.0,,,6.0,,,97.0
2,"Carlisle, Jake",12,7,8,20,,,,2.0,3.0,2.0,,3.0,2.0,,,10.0,8.0,2.0,,2.0,,,92.0
33,"Coffield, Nick",4,2,3,7,,,,,,,,3.0,,1.0,,2.0,6.0,,,2.0,,,66.0
7,"Dunstan, Luke",13,3,6,19,,1.0,,4.0,3.0,2.0,2.0,8.0,1.0,3.0,,9.0,12.0,,,,,,78.0
14,"Geary, Jarryn",11,1,10,21,,,,3.0,2.0,3.0,1.0,1.0,2.0,1.0,,9.0,13.0,,,4.0,,,83.0
19,"Gilbert, Sam",9,4,10,19,,1.0,,4.0,3.0,1.0,1.0,2.0,,1.0,,8.0,12.0,2.0,1.0,1.0,,,84.0
4,"Gresham, Jade",8,3,4,12,,2.0,,1.0,,3.0,2.0,5.0,2.0,2.0,,4.0,8.0,,1.0,,,1.0,91.0
1,"Hickey, Tom",5,3,5,10,1,,21.0,4.0,,2.0,4.0,3.0,,2.0,,7.0,5.0,2.0,1.0,6.0,,,86.0
21,"Long, Ben",5,3,7,12,1,,,,1.0,1.0,1.0,3.0,1.0,2.0,,8.0,5.0,,1.0,2.0,,,84.0
32,"McCartin, Paddy",7,7,4,11,1,,,1.0,1.0,2.0,,1.0,,,,6.0,6.0,3.0,1.0,2.0,,,84.0
28,"Membrey, Tim",8,5,1,9,1,1.0,,2.0,,1.0,,,1.0,,,4.0,5.0,1.0,2.0,2.0,,1.0,88.0
16,"Newnes, Jack",12,6,6,18,,,,1.0,3.0,4.0,4.0,3.0,,,,8.0,12.0,,,5.0,,2.0,81.0
6,"Ross, Sebastian",13,3,8,21,,2.0,,3.0,3.0,2.0,1.0,1.0,,,,6.0,15.0,1.0,1.0,1.0,2.0,,86.0
5,"Savage, Shane",16,6,7,23,,,,3.0,5.0,5.0,,1.0,,,,3.0,20.0,1.0,,2.0,,,85.0
35,"Sinclair, Jack",7,1,5,12,1,1.0,,2.0,,2.0,,3.0,,,,6.0,6.0,,1.0,,3.0,,69.0
9,"Steele, Jack",7,2,11,18,1,,,11.0,1.0,3.0,2.0,1.0,,,,8.0,10.0,1.0,1.0,1.0,,,77.0
3,"Steven, Jack",13,3,16,29,,,,4.0,2.0,3.0,7.0,3.0,,,,12.0,15.0,,,1.0,,1.0,84.0
29,"Webster, Jimmy",15,9,10,25,,,,2.0,7.0,,,,,,,4.0,21.0,,,3.0,,,79.0
44,"Weller, Maverick",6,4,6,12,,,,5.0,1.0,,,1.0,1.0,,,4.0,8.0,,2.0,2.0,,,79.0
31,"White, Brandon",8,4,6,14,,,,4.0,2.0,,,2.0,1.0,1.0,,2.0,12.0,,,2.0,,,75.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,85,160,359,7,12.0,22.0,64.0,40.0,42.0,27.0,52.0,14.0,18.0,,142.0,225.0,14.0,13.0,47.0,5.0,5.0,
Opposition,Opposition,236,102,181,417,13,11.0,33.0,59.0,27.0,56.0,28.0,46.0,18.0,14.0,6.0,141.0,284.0,10.0,14.0,52.0,2.0,11.0,
