Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
17,"Brown, Nathan",20y 130d,22 (14-0-8 63.64%),16 (0.73),←,
18,"Cameron, Leon",25y 291d,146 (79-2-65 54.79%),59 (0.40),←,
16,"Croft, Matthew",25y 114d,76 (44-2-30 59.21%),40 (0.53),←,
11,"Curley, Todd",25y 157d,44 (21-1-22 48.86%),27 (0.61),41 (19-1-21 47.56%),26 (0.63)
14,"Darcy, Luke",22y 343d,60 (31-1-28 52.50%),45 (0.75),←,
21,"Dent, Matthew",26y 154d,77 (25-0-52 32.47%),17 (0.22),30 (21-0-9 70.00%),8 (0.27)
28,"Dimattina, Paul",23y 210d,37 (23-0-14 62.16%),15 (0.41),←,
4,"Garlick, Simon",23y 71d,57 (34-0-23 59.65%),32 (0.56),13 (10-0-3 76.92%),5 (0.38)
3,"Grant, Chris",25y 189d,178 (94-3-81 53.65%),334 (1.88),←,
9,"Hudson, Paul",27y 335d,167 (101-0-66 60.48%),325 (1.95),33 (21-0-12 63.64%),61 (1.85)
6,"Johnson, Brad",21y 337d,89 (44-2-43 50.56%),60 (0.67),←,
2,"Kolyniuk, Steven",27y 350d,150 (78-1-71 52.33%),164 (1.09),←,
35,"Kretiuk, Steven",25y 351d,87 (51-1-35 59.20%),9 (0.10),←,
23,"Martin, Michael",21y 115d,30 (17-1-12 58.33%),10 (0.33),←,
10,"Montgomery, Brett",25y 19d,26 (19-0-7 73.08%),27 (1.04),←,
29,"Powell, Stephen",21y 286d,7 (4-0-3 57.14%),4 (0.57),←,
36,"Romero, Jose",26y 323d,163 (87-1-75 53.68%),142 (0.87),74 (38-1-35 52.03%),44 (0.59)
5,"Smith, Rohan",25y 20d,112 (60-2-50 54.46%),85 (0.76),←,
8,"Southern, Daniel",23y 170d,77 (41-1-35 53.90%),22 (0.29),←,
7,"West, Scott",23y 218d,115 (60-1-54 52.61%),44 (0.38),←,
24,"Wira, Brad",26y 96d,51 (24-1-26 48.04%),4 (0.08),50 (24-1-25 49.00%),4 (0.08)
15,"Wynd, Scott",28y 146d,182 (92-3-87 51.37%),28 (0.15),←,
Totals,Totals,24y 268d,1953 (1043-23-887 53.41%),1509 (0.77),,
C,"Wallace, Terry",39y 189d,47 (28-0-19 59.57%),,←,
