Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",18,4,2,20,2,,,3.0,4.0,7.0,4.0,4.0,1.0,,,8.0,12.0,,1.0,2.0,1.0,,90.0
16,"Brown, Leigh",5,2,3,8,,,2.0,3.0,4.0,,,1.0,,1.0,,1.0,6.0,,,8.0,,,100.0
2,"Colbert, Leigh",4,2,2,6,,,1.0,,2.0,,,1.0,,,,3.0,4.0,,,6.0,1.0,,77.0
24,"Firrito, Michael",9,6,5,14,1,1.0,1.0,1.0,,3.0,2.0,2.0,,,,6.0,8.0,,2.0,1.0,,1.0,96.0
6,"Grant, Shannon",18,11,7,25,1,,,4.0,3.0,4.0,1.0,2.0,2.0,2.0,,8.0,17.0,,1.0,4.0,,1.0,94.0
17,"Grima, Blake",5,3,5,10,,,,1.0,,2.0,1.0,1.0,,,,2.0,8.0,,,,,,55.0
31,"Hale, David",7,5,3,10,1,,12.0,3.0,,2.0,1.0,1.0,1.0,,,5.0,5.0,,,4.0,,,66.0
4,"Harris, Daniel",4,2,4,8,,,,1.0,1.0,1.0,2.0,,,,,4.0,4.0,,,2.0,,,55.0
29,"Harvey, Brent",23,7,5,28,1,,,3.0,2.0,8.0,1.0,2.0,1.0,,2.0,10.0,15.0,,1.0,4.0,5.0,1.0,89.0
21,"Jones, Corey",11,4,3,14,3,3.0,,5.0,,6.0,1.0,2.0,1.0,,1.0,9.0,5.0,,2.0,1.0,,,91.0
35,"Makepeace, Troy",13,6,4,17,,,,1.0,7.0,,,2.0,,1.0,,5.0,9.0,,,1.0,,,100.0
20,"Petrie, Drew",9,5,4,13,,,7.0,3.0,1.0,3.0,1.0,5.0,,3.0,,6.0,7.0,1.0,,1.0,,,92.0
25,"Picioane, Lance",9,,6,15,,1.0,,2.0,1.0,1.0,5.0,,,,,7.0,5.0,,,1.0,,,54.0
30,"Pratt, Daniel",10,4,1,11,,,,5.0,2.0,,,1.0,,,,3.0,8.0,1.0,,5.0,2.0,,70.0
26,"Rocca, Saverio",4,2,2,6,1,1.0,1.0,,,1.0,1.0,1.0,,1.0,,2.0,3.0,,2.0,4.0,,,81.0
32,"Sansbury, Eddie",3,2,4,7,1,,,,,1.0,1.0,1.0,,1.0,,4.0,3.0,,,1.0,,1.0,63.0
7,"Simpson, Adam",10,4,11,21,1,,2.0,2.0,2.0,,4.0,2.0,,1.0,,7.0,13.0,1.0,1.0,3.0,,,76.0
9,"Sinclair, Jess",19,14,7,26,,,,1.0,7.0,2.0,,,2.0,,,5.0,22.0,1.0,,5.0,1.0,1.0,100.0
12,"Stevens, Michael",15,8,3,18,1,,,,1.0,5.0,1.0,2.0,,2.0,,4.0,14.0,1.0,1.0,3.0,,1.0,79.0
23,"Thompson, Nathan",8,5,3,11,1,,5.0,1.0,,1.0,,1.0,1.0,,,3.0,8.0,1.0,,1.0,,,88.0
36,"Watt, Shannon",7,6,4,11,,,,,5.0,,,,,,,3.0,7.0,1.0,,7.0,,,100.0
8,"Wells, Daniel",18,7,8,26,,1.0,,2.0,3.0,2.0,1.0,3.0,,,3.0,10.0,16.0,,,6.0,3.0,2.0,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,229,109,96,325,14,9.0,31.0,41.0,45.0,49.0,27.0,34.0,9.0,12.0,6.0,115.0,199.0,7.0,11.0,70.0,13.0,8.0,
Opposition,Opposition,186,78,112,298,13,12.0,25.0,32.0,34.0,59.0,35.0,27.0,12.0,9.0,,118.0,175.0,9.0,12.0,48.0,11.0,7.0,
