Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
21,"Aliir, Aliir",29y 340d,151 (88-0-63 58.28%),5 (0.03),87 (59-0-28 67.82%),
14,"Bergman, Miles",22y 297d,78 (51-0-27 65.38%),20 (0.26),←,
10,"Boak, Travis",36y 9d,366 (194-1-171 53.14%),207 (0.57),←,
7,"Burgoyne, Jase",21y 26d,31 (16-0-15 51.61%),3 (0.10),←,
9,"Butters, Zak",23y 337d,114 (71-0-43 62.28%),66 (0.58),←,
33,"Byrne-Jones, Darcy",28y 325d,194 (117-0-77 60.31%),48 (0.25),←,
22,"Dixon, Charlie",33y 322d,218 (116-1-101 53.44%),356 (1.63),153 (97-0-56 63.40%),262 (1.71)
28,"Drew, Willem",25y 314d,102 (64-0-38 62.75%),18 (0.18),←,
31,"Evans, Francis",22y 353d,29 (22-0-7 75.86%),19 (0.66),22 (15-0-7 68.18%),16 (0.73)
43,"Evans, Logan",18y 308d,8 (6-0-2 75.00%),2 (0.25),←,
6,"Farrell, Kane",25y 146d,91 (57-0-34 62.64%),46 (0.51),←,
18,"Horne-Francis, Jason",21y 50d,60 (32-0-28 53.33%),41 (0.68),43 (30-0-13 69.77%),37 (0.86)
5,"Houston, Dan",27y 90d,167 (106-0-61 63.47%),41 (0.25),←,
34,"Jones, Lachie",22y 123d,51 (30-0-21 58.82%),6 (0.12),←,
4,"Marshall, Todd",25y 307d,115 (75-0-40 65.22%),158 (1.37),←,
44,"Mead, Jackson",22y 315d,39 (23-0-16 58.97%),9 (0.23),←,
42,"Narkle, Quinton",26y 251d,53 (36-0-17 67.92%),26 (0.49),12 (9-0-3 75.00%),8 (0.67)
27,"Ratugolea, Esava",26y 17d,93 (61-1-31 66.13%),42 (0.45),18 (12-0-6 66.67%),4 (0.22)
15,"Rioli, Willie",29y 67d,85 (56-0-29 65.88%),115 (1.35),34 (25-0-9 73.53%),55 (1.62)
1,"Rozee, Connor",24y 201d,124 (78-0-46 62.90%),109 (0.88),←,
24,"Sweet, Jordon",26y 190d,23 (17-0-6 73.91%),5 (0.22),12 (8-0-4 66.67%),3 (0.25)
16,"Wines, Ollie",29y 308d,248 (148-0-100 59.68%),100 (0.40),←,
25,"Zerk-Thatcher, Brandon",25y 351d,72 (38-1-33 53.47%),,21 (14-0-7 66.67%),
Totals,Totals,25y 362d,2512 (1502-4-1006 59.79%),1442 (0.57),,
C,"Hinkley, Ken",57y 315d,269 (162-0-107 60.22%),,←,
