0,1,2,3,4,5,6
←,"Round: 5 Venue: Norwood Oval Date: Fri, 14-Apr-2023 4:40 PM (5:10 PM) Attendance: 9329","Round: 5 Venue: Norwood Oval Date: Fri, 14-Apr-2023 4:40 PM (5:10 PM) Attendance: 9329","Round: 5 Venue: Norwood Oval Date: Fri, 14-Apr-2023 4:40 PM (5:10 PM) Attendance: 9329","Round: 5 Venue: Norwood Oval Date: Fri, 14-Apr-2023 4:40 PM (5:10 PM) Attendance: 9329","Round: 5 Venue: Norwood Oval Date: Fri, 14-Apr-2023 4:40 PM (5:10 PM) Attendance: 9329",→
←,Fremantle,3.0.18,6.2.38,11.5.71,15.10.100,→
←,Gold Coast,4.4.28,9.7.61,11.11.77,13.12.90,→
←,Qrt margin,GC by 10,GC by 23,GC by 6,FR by 10,→
←,Qrt scores,GC 28-18,GC 33-20,FR 33-16,FR 29-13,→
←,Field umpires,"Daniel Johanson (45), Matt Stevic (456), Tom Bryce (6), Eleni Tee (70)","Daniel Johanson (45), Matt Stevic (456), Tom Bryce (6), Eleni Tee (70)","Daniel Johanson (45), Matt Stevic (456), Tom Bryce (6), Eleni Tee (70)","Daniel Johanson (45), Matt Stevic (456), Tom Bryce (6), Eleni Tee (70)",→
