Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",20.0,2.0,23,43,1.0,,,3.0,,,,,2.0,4.0,1.0,,,,,,,,
32,"Baldwin, Jason",10.0,2.0,3,13,,,,3.0,,,,,2.0,,,,,,,,,,
5,"Barker, John",13.0,6.0,3,16,,,,2.0,,,,,4.0,2.0,,,,,,,,,
14,"Bizzotto, Frank",6.0,2.0,6,12,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
1,"Boyd, Brad",20.0,5.0,16,36,3.0,2.0,,2.0,,,,,2.0,1.0,,,,,,,,,
27,"Chandler, Brett",,,2,2,,,,,,,,,1.0,,,,,,,,,,
35,"Cook, Brett",5.0,4.0,4,9,,,7.0,3.0,,,,,2.0,2.0,,,,,,,,,
31,"Dent, Matthew",17.0,10.0,6,23,1.0,,,2.0,,,,,2.0,,,,,,,,,,
17,"Hawking, Simon",14.0,5.0,4,18,,,,1.0,,,,,3.0,,,,,,,,,,
3,"Hawkins, Doug",11.0,7.0,8,19,,1.0,,,,,,,,1.0,,,,,,,,,
10,"Hogg, Jeff",1.0,,2,3,1.0,,,,,,,,,,,,,,,,,,
2,"Johnson, Chris",11.0,5.0,3,14,3.0,1.0,,2.0,,,,,2.0,3.0,,,,,,,,,
25,"McCarthy, John",6.0,1.0,8,14,,,3.0,2.0,,,,,1.0,,,,,,,,,,
11,"McGregor, Anthony",9.0,3.0,5,14,,2.0,,2.0,,,,,1.0,2.0,,,,,,,,,
18,"Mitchell, Nick",7.0,4.0,4,11,,,,3.0,,,,,,,,,,,,,,,
7,"Molloy, Jarrod",3.0,3.0,5,8,,1.0,3.0,,,,,,,,,,,,,,,,
4,"Paxman, Stephen",9.0,3.0,6,15,,1.0,,3.0,,,,,4.0,1.0,,,,,,,,,
8,"Pike, Martin",13.0,7.0,13,26,2.0,3.0,1.0,,,,,,3.0,1.0,,,,,,,,,
22,"Stretch, Steven",6.0,2.0,4,10,,,,3.0,,,,,,2.0,,,,,,,,,
33,"Warfe, Rowan",3.0,2.0,4,7,,,,,,,,,,1.0,,,,,,,,,
16,"Zanotti, Mark",19.0,4.0,10,29,,,,3.0,,,,,,1.0,,,,,,,,,
Totals,Totals,203.0,77.0,139,342,11.0,12.0,14.0,36.0,,,,,30.0,22.0,1.0,,,,,,,,
Opposition,Opposition,178.0,76.0,90,268,18.0,13.0,15.0,29.0,,,,,22.0,30.0,5.0,,,,,,,,
