Notes,Previous,Current
Port Adelaide's highest score conceded,"179 v West Coast - R10,2005",Current holder
Hawthorn's biggest win,"160 v Essendon - R20,1992",Current holder
Port Adelaide's biggest loss,"138 v Collingwood - R20,2011",Current holder
