Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
26,"Brown, Gavin",28y 259d,171 (88-5-78 52.92%),140 (0.82),←,
5,"Buckley, Nathan",23y 320d,74 (27-2-45 37.84%),73 (0.99),54 (23-2-29 44.44%),52 (0.96)
17,"Burns, Scott",21y 170d,30 (12-1-17 41.67%),4 (0.13),←,
28,"Crosisca, Gavin",27y 269d,171 (96-5-70 57.60%),49 (0.29),←,
39,"Crow, Scott",22y 175d,23 (10-0-13 43.48%),4 (0.17),10 (4-0-6 40.00%),2 (0.20)
2,"Francis, Tony",27y 70d,112 (63-2-47 57.14%),75 (0.67),←,
15,"Hassall, Jon",22y 301d,45 (19-2-24 44.44%),10 (0.22),←,
31,"Hotton, Trent",22y 192d,13 (3-0-10 23.08%),13 (1.00),←,
23,"Kelly, Craig",29y 360d,120 (66-3-51 56.25%),43 (0.36),←,
27,"McDonald, Alex",26y 118d,56 (30-0-26 53.57%),32 (0.57),10 (4-0-6 40.00%),8 (0.80)
32,"Orchard, Mark",20y 69d,10 (3-1-6 35.00%),4 (0.40),←,
6,"Patterson, Stephen",25y 158d,29 (12-1-16 43.10%),37 (1.28),←,
13,"Richardson, Alan",31y 24d,112 (60-4-48 55.36%),10 (0.09),←,
3,"Richardson, Mark",23y 223d,40 (21-1-18 53.75%),44 (1.10),←,
29,"Russell, Scott",26y 34d,133 (77-3-53 59.02%),83 (0.62),←,
12,"Schauble, Andrew",19y 206d,13 (6-0-7 46.15%),3 (0.23),←,
18,"Walker, Lee",23y 124d,10 (3-1-6 35.00%),6 (0.60),←,
14,"Watson, Shane",22y 114d,82 (40-1-41 49.39%),48 (0.59),←,
22,"Wild, Jason",20y 121d,16 (8-2-6 56.25%),3 (0.19),←,
10,"Williams, Paul",23y 68d,101 (52-2-47 52.48%),119 (1.18),←,
19,"Wright, Graham",28y 4d,161 (98-4-59 62.11%),99 (0.61),←,
Totals,Totals,24y 213d,1522 (794-40-688 52.17%),899 (0.59),,
C,"Shaw, Tony",35y 323d,10 (4-0-6 40.00%),,←,
