Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
23,"Clarkson, Alastair",28y 64d,106 (46-2-58 44.34%),72 (0.68),13 (4-0-9 30.77%),11 (0.85)
26,"Doyle, Greg",25y 280d,31 (15-0-16 48.39%),17 (0.55),29 (15-0-14 51.72%),14 (0.48)
33,"Farmer, Jeff",19y 6d,17 (3-0-14 17.65%),19 (1.12),←,
20,"Febey, Matthew",26y 316d,83 (39-0-44 46.99%),24 (0.29),←,
15,"Hopgood, Paul",22y 345d,53 (27-0-26 50.94%),3 (0.06),←,
27,"Ingerson, Anthony",26y 261d,48 (19-0-29 39.58%),27 (0.56),11 (3-0-8 27.27%),2 (0.18)
7,"Kowal, Darren",24y 12d,65 (32-0-33 49.23%),29 (0.45),←,
17,"Lovett, Brett",30y 41d,210 (115-1-94 55.00%),40 (0.19),←,
6,"Lovett, Glenn",26y 343d,103 (48-0-55 46.60%),67 (0.65),←,
9,"Neitz, David",21y 160d,79 (36-0-43 45.57%),72 (0.91),←,
18,"Nettelbeck, Craig",24y 35d,57 (14-2-41 26.32%),37 (0.65),12 (4-0-8 33.33%),10 (0.83)
38,"OBrien, Darren",27y 100d,5 (1-0-4 20.00%),,←,
4,"Obst, Andrew",31y 316d,122 (64-0-58 52.46%),55 (0.45),←,
35,"Ormond-Allen, Trent",20y 19d,6 (3-0-3 50.00%),1 (0.17),←,
14,"Polley, Michael",19y 290d,3 (1-0-2 33.33%),,←,
10,"Seecamp, Marcus",23y 339d,84 (31-0-53 36.90%),15 (0.18),33 (13-0-20 39.39%),5 (0.15)
29,"Smith, Shaun",27y 8d,80 (40-1-39 50.63%),108 (1.35),33 (13-0-20 39.39%),70 (2.12)
11,"Stynes, Jim",30y 68d,213 (115-1-97 54.23%),122 (0.57),←,
2,"Tingay, Stephen",25y 322d,129 (69-0-60 53.49%),64 (0.50),←,
8,"Turley, Craig",30y 311d,127 (78-2-47 62.20%),99 (0.78),12 (4-0-8 33.33%),8 (0.67)
13,"Yze, Adem",18y 283d,21 (8-0-13 38.10%),10 (0.48),←,
Totals,Totals,25y 117d,1642 (804-9-829 48.96%),881 (0.54),,
C,"Balme, Neil",44y 167d,80 (37-0-43 46.25%),,←,
