Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",19y 229d,30 (6-0-24 20.00%),17 (0.57),←,
22,"Bain, David",25y 10d,49 (11-0-38 22.45%),33 (0.67),←,
12,"Clarke, Troy",21y 338d,3 (0-0-3 0.00%),1 (0.33),←,
2,"Curran, Peter",28y 301d,114 (81-0-33 71.05%),200 (1.75),5 (0-0-5 0.00%),4 (0.80)
4,"Gastev, John",26y 274d,75 (28-0-47 37.33%),55 (0.73),45 (11-0-34 24.44%),24 (0.53)
14,"Hamilton, Shane",20y 267d,34 (12-0-22 35.29%),47 (1.38),7 (0-0-7 0.00%),7 (1.00)
5,"Hardie, Brad",28y 214d,135 (50-0-85 37.04%),191 (1.41),88 (22-0-66 25.00%),163 (1.85)
9,"Ishchenko, Alex",27y 22d,67 (24-0-43 35.82%),24 (0.36),37 (8-0-29 21.62%),14 (0.38)
17,"Leslie, Martin",28y 176d,38 (9-0-29 23.68%),3 (0.08),←,
16,"Lester-Smith, Rod",31y 298d,109 (60-1-48 55.50%),38 (0.35),39 (8-0-31 20.51%),15 (0.38)
19,"McLean, Michael",26y 70d,102 (47-2-53 47.06%),26 (0.25),7 (0-0-7 0.00%),3 (0.43)
24,"Merrett, Roger",31y 23d,212 (113-2-97 53.77%),231 (1.09),63 (16-0-47 25.40%),83 (1.32)
26,"Noonan, Danny",22y 164d,6 (0-0-6 0.00%),1 (0.17),←,
28,"OBrien, Cameron",24y 226d,40 (12-0-28 30.00%),56 (1.40),39 (12-0-27 30.77%),56 (1.44)
13,"Potter, Craig",25y 113d,43 (22-0-21 51.16%),16 (0.37),1 (0-0-1 0.00%),
30,"Ryan, Matthew",23y 344d,60 (21-1-38 35.83%),56 (0.93),5 (0-0-5 0.00%),4 (0.80)
42,"Strempel, Shane",22y 111d,3 (0-0-3 0.00%),2 (0.67),←,
46,"Wearne, David",21y 2d,15 (2-0-13 13.33%),2 (0.13),←,
35,"Worsfold, Peter",20y 305d,4 (0-0-4 0.00%),4 (1.00),←,
21,"Zanotti, Mark",26y 185d,75 (25-0-50 33.33%),7 (0.09),39 (8-0-31 20.51%),1 (0.03)
Totals,Totals,25y 56d,1214 (523-6-685 43.08%),1010 (0.83),,
C,"Walls, Robert",40y 295d,206 (115-1-90 56.07%),,7 (0-0-7 0.00%),
