Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",24y 364d,114 (46-2-66 41.23%),290 (2.54),←,
3,"Coniglio, Stephen",24y 106d,97 (43-0-54 44.33%),44 (0.45),←,
35,"Corr, Aidan",23y 318d,61 (26-2-33 44.26%),1 (0.02),←,
1,"Davis, Phil",27y 213d,123 (57-2-64 47.15%),6 (0.05),105 (46-2-57 44.76%),5 (0.05)
24,"de Boer, Matt",28y 21d,155 (89-3-63 58.39%),57 (0.37),17 (11-2-4 70.59%),9 (0.53)
7,"Deledio, Brett",30y 347d,252 (116-5-131 47.02%),187 (0.74),9 (6-0-3 66.67%),5 (0.56)
31,"Finlayson, Jeremy",22y 50d,3 (2-1-0 83.33%),,←,
19,"Haynes, Nick",25y 317d,83 (38-2-43 46.99%),8 (0.10),←,
27,"Himmelberg, Harry",21y 327d,18 (14-0-4 77.78%),11 (0.61),←,
22,"Kelly, Josh",23y 47d,86 (46-2-38 54.65%),56 (0.65),←,
17,"Langdon, Zac",22y 138d,2 (2-0-0 100.00%),3 (1.50),←,
38,"Lloyd, Daniel",26y 41d,9 (7-2-0 88.89%),5 (0.56),←,
37,"Lobb, Rory",25y 50d,57 (33-2-22 59.65%),53 (0.93),←,
12,"Patton, Jonathon",24y 315d,79 (38-2-39 49.37%),122 (1.54),←,
50,"Reid, Sam",28y 144d,45 (24-2-19 55.56%),20 (0.44),35 (18-2-15 54.29%),19 (0.54)
9,"Scully, Tom",26y 320d,152 (61-3-88 41.12%),73 (0.48),121 (48-2-71 40.50%),67 (0.55)
23,"Shaw, Heath",32y 124d,264 (161-4-99 61.74%),39 (0.15),91 (51-2-38 57.14%),2 (0.02)
5,"Shiel, Dylan",25y 22d,114 (48-2-64 42.98%),59 (0.52),←,
14,"Taranto, Tim",20y 62d,16 (12-0-4 75.00%),7 (0.44),←,
20,"Tomlinson, Adam",24y 233d,93 (34-2-57 37.63%),21 (0.23),←,
8,"Ward, Callan",27y 355d,194 (85-2-107 44.33%),99 (0.51),134 (53-2-79 40.30%),66 (0.49)
6,"Whitfield, Lachie",23y 256d,92 (40-2-50 44.57%),44 (0.48),←,
Totals,Totals,25y 173d,2109 (1022-42-1045 48.46%),1205 (0.57),,
C,"Cameron, Leon",45y 210d,95 (51-2-42 54.74%),,←,
