Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
4,"Bontempelli, Marcus",12,2,12,24,3,1.0,,6.0,1.0,5.0,3.0,2.0,1.0,,1.0,13.0,11.0,1.0,2.0,1.0,,1.0,88.0
29,"Bramble, Lachlan",14,8,4,18,,,,2.0,3.0,,,4.0,,1.0,,,16.0,,1.0,,1.0,,74.0
31,"Dale, Bailey",29,15,10,39,1,,,2.0,6.0,6.0,,3.0,,2.0,,7.0,28.0,1.0,,,2.0,1.0,85.0
10,"Darcy, Sam",8,4,2,10,1,1.0,8.0,4.0,,,1.0,2.0,,,,7.0,2.0,3.0,2.0,1.0,,,78.0
15,"Duryea, Taylor",11,9,11,22,,,,3.0,3.0,2.0,,2.0,2.0,1.0,,8.0,14.0,,,2.0,,,79.0
44,"English, Tim",12,9,5,17,1,2.0,25.0,5.0,2.0,,2.0,2.0,2.0,,,6.0,11.0,2.0,2.0,2.0,1.0,,87.0
12,"Gallagher, Harvey",11,4,3,14,1,,,2.0,,1.0,2.0,4.0,,,,4.0,10.0,,,1.0,,,72.0
38,"Garcia, Riley",7,1,10,17,,,,6.0,3.0,2.0,3.0,2.0,1.0,1.0,,9.0,9.0,,,1.0,,2.0,79.0
22,"Harmes, James",12,6,4,16,,,,3.0,1.0,2.0,2.0,,2.0,,,5.0,10.0,,1.0,2.0,,1.0,75.0
39,"Johannisen, Jason",19,12,12,31,,,,2.0,2.0,4.0,1.0,,1.0,,,6.0,24.0,,,,,,77.0
19,"Jones, Liam",15,10,3,18,,,,,2.0,,,2.0,2.0,,,6.0,13.0,,,7.0,,,95.0
24,"Khamis, Buku",10,9,1,11,,,,,4.0,,,2.0,,,,3.0,8.0,2.0,,4.0,,,87.0
7,"Lobb, Rory",10,7,4,14,,1.0,3.0,4.0,,9.0,1.0,,3.0,,,6.0,8.0,2.0,,1.0,,1.0,88.0
11,"Macrae, Jack",15,6,15,30,1,,,7.0,1.0,4.0,5.0,2.0,2.0,,,10.0,19.0,,,2.0,,,82.0
33,"Naughton, Aaron",10,6,1,11,6,,,1.0,,1.0,,,1.0,,3.0,6.0,5.0,3.0,4.0,1.0,1.0,,85.0
18,"ODonnell, James",8,5,5,13,,,,,3.0,2.0,,3.0,1.0,,,6.0,7.0,1.0,,1.0,1.0,,95.0
20,"Richards, Ed",9,3,9,18,,,,5.0,,3.0,3.0,1.0,,1.0,,6.0,12.0,,,,,1.0,76.0
9 ↑,"Sanders, Ryley",1,1,4,5,,,,2.0,,,,,,,,1.0,4.0,,,,,,24.0
1,"Treloar, Adam",16,8,15,31,1,,,7.0,1.0,3.0,9.0,2.0,1.0,,2.0,13.0,17.0,,,2.0,1.0,,84.0
23 ↓,"Vandermeer, Laitham",5,5,4,9,,,,1.0,,4.0,,1.0,,,,1.0,8.0,,,,,1.0,58.0
3,"Weightman, Cody",6,2,3,9,3,,,4.0,,1.0,,1.0,1.0,1.0,,4.0,7.0,,1.0,1.0,,,77.0
14,"West, Rhylee",10,8,5,15,1,,,2.0,,3.0,,2.0,1.0,,,7.0,9.0,,2.0,,,3.0,74.0
34,"Williams, Bailey",13,8,5,18,,,,4.0,1.0,2.0,,1.0,,,,,18.0,,1.0,1.0,1.0,,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,263,148,147,410,19,10.0,36.0,72.0,33.0,54.0,32.0,38.0,21.0,7.0,6.0,134.0,270.0,15.0,16.0,30.0,8.0,11.0,
Opposition,Opposition,189,74,146,335,9,10.0,28.0,50.0,35.0,44.0,30.0,74.0,8.0,21.0,,124.0,205.0,4.0,10.0,52.0,7.0,8.0,
