Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
20,"Broadbridge, Troy",20y 318d,10 (3-0-7 30.00%),2 (0.20),←,
25,"Brown, Nathan",25y 5d,29 (12-0-17 41.38%),6 (0.21),←,
32,"Bruce, Cameron",21y 323d,39 (20-0-19 51.28%),52 (1.33),←,
33,"Farmer, Jeff",24y 56d,116 (50-0-66 43.10%),252 (2.17),←,
21,"Febey, Steven",32y,256 (128-0-128 50.00%),40 (0.16),←,
15,"Funcke, Ross",23y 276d,30 (13-0-17 43.33%),2 (0.07),3 (1-0-2 33.33%),1 (0.33)
18,"Green, Brad",20y 159d,39 (21-0-18 53.85%),63 (1.62),←,
35,"McDonald, Anthony",29y 67d,97 (44-0-53 45.36%),37 (0.38),←,
23,"McDonald, James",24y 318d,71 (34-0-37 47.89%),28 (0.39),←,
9,"Neitz, David",26y 209d,178 (80-0-98 44.94%),273 (1.53),←,
8,"Nicholson, Alistair",23y 168d,50 (25-0-25 50.00%),1 (0.02),←,
24,"Robertson, Russell",22y 268d,77 (39-0-38 50.65%),113 (1.47),←,
5,"Schwarz, David",29y 26d,158 (71-1-86 45.25%),229 (1.45),←,
11,"Simmonds, Troy",23y 37d,38 (18-0-20 47.37%),6 (0.16),←,
6,"Thompson, Scott",18y 158d,9 (4-0-5 44.44%),2 (0.22),←,
42,"Walsh, Peter",25y 26d,56 (28-0-28 50.00%),12 (0.21),←,
10,"Ward, Daniel",24y 41d,49 (19-0-30 38.78%),14 (0.29),←,
31,"Wheatley, Paul",20y 129d,28 (15-0-13 53.57%),9 (0.32),←,
34,"White, Jeff",24y 181d,119 (56-0-63 47.06%),59 (0.50),87 (43-0-44 49.43%),41 (0.47)
26,"Williams, Luke",21y 233d,12 (6-0-6 50.00%),3 (0.25),←,
22,"Woewodin, Shane",25y 38d,112 (49-0-63 43.75%),51 (0.46),←,
13,"Yze, Adem",23y 332d,139 (60-0-79 43.17%),94 (0.68),←,
Totals,Totals,24y 37d,1712 (795-1-916 46.44%),1348 (0.79),,
C,"Daniher, Neale",40y 185d,92 (46-0-46 50.00%),,←,
