Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
37,"Allison, Jacob",19y 118d,3 (1-0-2 33.33%),,←,
31,"Andrews, Harris",20y 244d,56 (12-0-44 21.43%),8 (0.14),←,
43,"Barrett, Jake",21y 277d,16 (5-0-11 31.25%),14 (0.88),15 (5-0-10 33.33%),14 (0.93)
4,"Bastinac, Ryan",26y 51d,157 (75-0-82 47.77%),90 (0.57),36 (8-0-28 22.22%),24 (0.67)
17,"Beams, Claye",25y 345d,52 (13-0-39 25.00%),26 (0.50),←,
9,"Beams, Dayne",27y 181d,145 (82-2-61 57.24%),145 (1.00),35 (6-0-29 17.14%),27 (0.77)
33,"Close, Michael",23y 13d,25 (7-0-18 28.00%),22 (0.88),←,
20,"Cox, Cedric",19y 358d,7 (2-0-5 28.57%),1 (0.14),←,
27,"Gardiner, Darcy",21y 324d,60 (16-0-44 26.67%),3 (0.05),←,
30,"Hipwood, Eric",19y 333d,29 (7-0-22 24.14%),40 (1.38),←,
35,"Lester, Ryan",24y 351d,100 (30-0-70 30.00%),45 (0.45),←,
12,"Martin, Stefan",30y 268d,134 (32-1-101 24.25%),39 (0.29),77 (18-0-59 23.38%),16 (0.21)
36,"Mathieson, Rhys",20y 214d,22 (6-0-16 27.27%),15 (0.68),←,
32,"Mayes, Sam",23y 84d,93 (27-0-66 29.03%),26 (0.28),←,
6,"McCluggage, Hugh",19y 162d,16 (4-0-12 25.00%),6 (0.38),←,
25,"McStay, Daniel",22y 49d,58 (13-0-45 22.41%),31 (0.53),←,
10,"Rich, Daniel",27y 66d,163 (52-1-110 32.21%),100 (0.61),←,
18,"Robertson, Nick",22y 70d,45 (7-0-38 15.56%),7 (0.16),←,
38,"Rockliff, Tom",27y 171d,152 (46-0-106 30.26%),83 (0.55),←,
28,"Taylor, Lewis",22y 176d,83 (18-0-65 21.69%),64 (0.77),←,
14,"Walker, Josh",24y 273d,58 (25-1-32 43.97%),66 (1.14),25 (6-0-19 24.00%),31 (1.24)
15,"Zorko, Dayne",28y 184d,120 (37-0-83 30.83%),132 (1.10),←,
Totals,Totals,23y 229d,1594 (517-5-1072 32.43%),963 (0.60),,
C,"Fagan, Chris",56y 50d,20 (5-0-15 25.00%),,←,
