Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
42,"Beasy, Callan",21y 156d,10 (0-0-10 0.00%),6 (0.60),←,
29,"Beaumont, Simon",27y 252d,151 (72-0-79 47.68%),89 (0.59),←,
35,"Campbell, Blake",21y 15d,11 (1-0-10 9.09%),3 (0.27),←,
13,"Davies, Justin",20y 46d,19 (3-0-16 15.79%),5 (0.26),←,
25,"Fevola, Brendan",22y 214d,62 (26-0-36 41.94%),124 (2.00),←,
14,"Fisher, Brad",19y 135d,15 (3-0-12 20.00%),18 (1.20),←,
31,"Fletcher, Simon",25y 5d,83 (39-0-44 46.99%),30 (0.36),←,
45,"Franchina, Anthony",25y 315d,104 (49-0-55 47.12%),26 (0.25),←,
11,"French, Barnaby",27y 270d,80 (38-1-41 48.13%),22 (0.28),18 (4-0-14 22.22%),2 (0.11)
33,"Houlihan, Ryan",21y 213d,75 (29-0-46 38.67%),67 (0.89),←,
43,"Koutoufides, Anthony",30y 216d,214 (120-1-93 56.31%),179 (0.84),←,
12,"Lappin, Matthew",27y 186d,169 (78-1-90 46.45%),173 (1.02),114 (50-0-64 43.86%),147 (1.29)
4,"Livingston, Luke",20y 291d,26 (4-0-22 15.38%),2 (0.08),←,
22,"Manton, Glenn",30y 82d,177 (99-0-78 55.93%),34 (0.19),156 (88-0-68 56.41%),30 (0.19)
41,"McCormick, Jonathon",22y 149d,20 (4-0-16 20.00%),5 (0.25),←,
5,"McKay, Andrew",33y 39d,243 (131-1-111 54.12%),28 (0.12),←,
26,"OKeeffe, Sean",21y 104d,6 (0-0-6 0.00%),1 (0.17),←,
40,"Plunkett, Jim",25y 27d,47 (16-0-31 34.04%),15 (0.32),37 (11-0-26 29.73%),14 (0.38)
28,"Prendergast, Ian",22y 354d,31 (9-0-22 29.03%),8 (0.26),←,
36,"Sporn, Trent",20y 333d,21 (5-0-16 23.81%),3 (0.14),←,
32,"Thornton, Bret",19y 280d,30 (6-0-24 20.00%),1 (0.03),←,
30,"Waite, Jarrad",20y 199d,19 (3-0-16 15.79%),11 (0.58),←,
Totals,Totals,23y 359d,1613 (735-4-874 45.57%),850 (0.53),,
C,"Pagan, Denis",55y 332d,261 (154-0-107 59.00%),,21 (4-0-17 19.05%),
