Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",24y 234d,111 (54-2-55 49.55%),66 (0.59),←,
38,"Barrow, Gary",23y 208d,4 (3-0-1 75.00%),1 (0.25),←,
18,"Cameron, Leon",20y 346d,59 (30-1-28 51.69%),26 (0.44),←,
11,"Corcoran, Shannon",22y 173d,20 (12-0-8 60.00%),2 (0.10),←,
31,"Darcy, Anthony",21y 145d,11 (3-0-8 27.27%),2 (0.18),10 (3-0-7 30.00%),2 (0.20)
26,"Del-Re, Danny",25y 183d,59 (33-1-25 56.78%),138 (2.34),←,
29,"Grant, Chris",20y 244d,74 (40-1-33 54.73%),147 (1.99),←,
28,"Grgic, Ilija",21y 162d,7 (4-0-3 57.14%),11 (1.57),←,
7,"Hawkins, Doug",33y 101d,306 (130-4-172 43.14%),209 (0.68),←,
10,"Hunter, Mark",27y 345d,88 (41-2-45 47.73%),2 (0.02),←,
4,"Kellett, Nigel",23y 239d,54 (28-0-26 51.85%),21 (0.39),←,
39,"Liberatore, Tony",27y 184d,102 (57-1-44 56.37%),58 (0.57),←,
43,"Nicholson, Brad",19y 71d,3 (1-0-2 33.33%),1 (0.33),←,
22,"Quill, Peter",23y 356d,11 (5-0-6 45.45%),5 (0.45),←,
33,"Royal, Brian",31y 245d,199 (106-2-91 53.77%),299 (1.50),←,
17,"Standfield, Barry",23y 182d,50 (28-0-22 56.00%),20 (0.40),←,
42,"Thorpe, Alan",24y 300d,5 (2-1-2 50.00%),5 (1.00),2 (1-0-1 50.00%),
8,"Toohey, Bernard",30y 177d,261 (134-1-126 51.53%),115 (0.44),38 (24-0-14 63.16%),4 (0.11)
14,"West, Scott",18y 273d,15 (7-0-8 46.67%),18 (1.20),←,
15,"Wynd, Scott",23y 201d,96 (48-1-47 50.52%),13 (0.14),←,
Totals,Totals,24y 164d,1535 (766-17-752 49.90%),1159 (0.76),,
C,"Wheeler, Terry",38y 154d,87 (47-1-39 54.60%),,←,
