Notes,Previous,Current
Brisbane Lions's highest score conceded,"177 v Western Bulldogs - R16,1998",Current holder
St Kilda's biggest win,"131 v Adelaide - R7,1991",Current holder
Brisbane Lions's biggest loss,"95 v Melbourne - R18,1998",Current holder
