North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Anderson, Jed",10,3,17,27,,,,14.0,3.0,3.0,2.0,4.0,1.0,1.0,,17.0,11.0,1.0,,1.0,,,76.0
18,"Atley, Shaun",15,9,12,27,,,,2.0,4.0,2.0,1.0,6.0,1.0,,,11.0,17.0,,,5.0,,,95.0
16,"Bonar, Aiden",12,4,3,15,,,,3.0,2.0,2.0,,1.0,,,,5.0,10.0,2.0,,5.0,,,83.0
4,"Corr, Aidan",12,4,8,20,,1.0,,5.0,6.0,2.0,1.0,3.0,1.0,1.0,,8.0,8.0,1.0,,4.0,,,81.0
9,"Davies-Uniacke, Luke",11,5,10,21,,1.0,,4.0,2.0,8.0,5.0,4.0,1.0,1.0,,9.0,13.0,,,,,1.0,79.0
22,"Goldstein, Todd",4,2,7,11,1,,30.0,2.0,,1.0,3.0,3.0,,1.0,,3.0,8.0,,,5.0,,,92.0
43 ↑,"Hall, Aaron",1,,2,3,,,,1.0,,,,1.0,,,,1.0,2.0,,,,,,5.0
20,"Larkey, Nick",3,2,4,7,1,,6.0,2.0,,,1.0,4.0,1.0,2.0,,5.0,2.0,1.0,1.0,1.0,,,86.0
35,"Lazzaro, Charlie",10,3,7,17,,,,4.0,2.0,5.0,2.0,2.0,2.0,,,5.0,12.0,,,1.0,,,78.0
1 ↓,"Mahony, Jack",5,2,6,11,,,,2.0,1.0,1.0,1.0,3.0,,1.0,,4.0,5.0,,,3.0,,,71.0
23,"McKay, Ben",1,,5,6,,,,1.0,2.0,,,,,,,4.0,2.0,,,6.0,,,92.0
13,"Polec, Jared",16,7,4,20,,1.0,,3.0,2.0,3.0,1.0,3.0,1.0,2.0,,5.0,15.0,1.0,,3.0,,,78.0
24,"Powell, Tom",6,1,10,16,1,,,2.0,,2.0,3.0,,,,,9.0,6.0,,,,,,72.0
8,"Scott, Bailey",11,1,7,18,1,,,3.0,3.0,,1.0,6.0,,,,6.0,12.0,,,1.0,,,88.0
12,"Simpkin, Jy",9,4,17,26,,,,4.0,1.0,5.0,3.0,4.0,1.0,2.0,,13.0,16.0,1.0,,2.0,,,79.0
2,"Stephenson, Jaidyn",8,4,6,14,,1.0,,2.0,1.0,1.0,2.0,5.0,,2.0,,3.0,12.0,,,1.0,,1.0,84.0
26,"Thomas, Tarryn",10,2,7,17,1,3.0,,1.0,,5.0,1.0,5.0,2.0,2.0,,5.0,11.0,,1.0,1.0,1.0,,79.0
28,"Turner, Kayne",8,4,8,16,,,,1.0,2.0,4.0,1.0,2.0,3.0,,,4.0,12.0,,1.0,2.0,,2.0,80.0
21,"Tyson, Dom",8,5,5,13,,,,,,1.0,3.0,4.0,1.0,1.0,,5.0,10.0,,,3.0,,1.0,79.0
19,"Walker, Josh",5,5,7,12,,,4.0,1.0,2.0,1.0,,3.0,1.0,,,3.0,10.0,,,,,,88.0
17,"Young, Lachie",12,5,3,15,,,,1.0,6.0,3.0,,2.0,3.0,1.0,,4.0,10.0,,,2.0,,,77.0
7,"Ziebell, Jack",18,6,4,22,,,,1.0,10.0,,,5.0,1.0,1.0,,6.0,9.0,,,4.0,,,76.0
44,"Zurhaar, Cameron",8,3,6,14,,,,3.0,1.0,3.0,1.0,7.0,1.0,1.0,,4.0,11.0,,,1.0,,,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,203,81,165,368,5,9.0,40.0,62.0,50.0,52.0,32.0,77.0,21.0,19.0,,139.0,224.0,7.0,3.0,51.0,1.0,5.0,
Opposition,Opposition,292,115,148,440,14,14.0,34.0,69.0,47.0,66.0,39.0,68.0,20.0,21.0,6.0,158.0,274.0,8.0,16.0,58.0,11.0,8.0,
