Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Banfield, Todd",11,6,6,17,2,1.0,,4.0,,7.0,,3.0,4.0,,,4.0,13.0,,1.0,,,,82.0
17,"Brennan, Jared",12,6,5,17,,1.0,2.0,7.0,1.0,6.0,2.0,7.0,,3.0,,6.0,11.0,,,3.0,,,86.0
33,"Buchanan, Amon",5,4,6,11,,1.0,,2.0,,2.0,1.0,1.0,3.0,1.0,,6.0,6.0,1.0,1.0,,,,55.0
1,"Clark, Mitch",8,4,10,18,,,12.0,2.0,,3.0,4.0,2.0,2.0,2.0,,12.0,8.0,1.0,,7.0,,1.0,75.0
22,"Collier, Tom",7,6,11,18,,,,1.0,1.0,2.0,,,,,,4.0,14.0,,,3.0,,,96.0
44,"Cornelius, Aaron",7,6,3,10,3,1.0,,,,1.0,,,,,,4.0,6.0,3.0,4.0,2.0,,1.0,79.0
5,"Fevola, Brendan",6,4,1,7,1,1.0,,1.0,,2.0,,4.0,1.0,1.0,,1.0,6.0,,2.0,2.0,,,99.0
12,"Hawksley, James",8,6,5,13,,,,5.0,2.0,1.0,,6.0,,4.0,,3.0,10.0,1.0,,4.0,,,82.0
4,"Johnstone, Travis",18,6,11,29,,,,3.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,7.0,24.0,,,3.0,,,86.0
23,"Leuenberger, Matthew",2,2,8,10,,1.0,15.0,,,,1.0,3.0,1.0,,,2.0,7.0,,1.0,2.0,,,49.0
21,"Merrett, Daniel",6,6,6,12,,,,1.0,4.0,,,,,,,3.0,9.0,,,14.0,,,94.0
24,"Patfull, Joel",8,3,6,14,,,,1.0,3.0,,1.0,1.0,,,,5.0,7.0,1.0,,6.0,,,96.0
6,"Power, Luke",13,1,9,22,,,,6.0,5.0,2.0,2.0,1.0,2.0,,,6.0,14.0,,,3.0,,,91.0
29,"Raines, Andrew",7,3,15,22,,,,2.0,1.0,3.0,,2.0,1.0,1.0,,5.0,18.0,,,1.0,,,82.0
30,"Redden, Jack",11,9,14,25,1,,,8.0,1.0,2.0,4.0,4.0,,3.0,,7.0,18.0,2.0,,2.0,,,82.0
10,"Rich, Daniel",10,4,10,20,,1.0,,4.0,1.0,2.0,3.0,3.0,,2.0,,8.0,12.0,,,1.0,,,83.0
35,"Rischitelli, Michael",11,3,12,23,,,1.0,7.0,1.0,2.0,2.0,,,,,9.0,13.0,,,2.0,1.0,,82.0
38,"Rockliff, Tom",12,6,14,26,1,1.0,,2.0,3.0,2.0,1.0,,1.0,,,4.0,20.0,,1.0,2.0,,,82.0
28,"Selwood, Troy",3,2,4,7,,,,2.0,1.0,,1.0,2.0,,2.0,,2.0,6.0,,,2.0,,,70.0
3,"Sheldon, Sam",4,2,8,12,,,,4.0,3.0,1.0,1.0,2.0,1.0,1.0,,6.0,6.0,,,2.0,,1.0,72.0
11,"Sherman, Justin",8,1,2,10,1,,,6.0,1.0,4.0,1.0,,,,,2.0,6.0,,,2.0,,1.0,86.0
14,"Staker, Brent",11,8,6,17,3,1.0,3.0,2.0,,4.0,1.0,3.0,1.0,2.0,,10.0,7.0,3.0,3.0,,,1.0,92.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,188,98,172,360,12,14.0,33.0,70.0,33.0,49.0,28.0,48.0,18.0,23.0,1.0,116.0,241.0,12.0,13.0,63.0,1.0,5.0,
Opposition,Opposition,195,93,171,366,15,15.0,24.0,45.0,32.0,53.0,35.0,36.0,24.0,18.0,5.0,129.0,237.0,14.0,7.0,48.0,6.0,7.0,
