Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
17,"Camporeale, Scott",7,3,11,18,,,,1.0,,,2.0,1.0,,1.0,,2.0,16.0,,,,,1.0,79.0
28,"Cole, Richard",4,2,7,11,,,,1.0,4.0,,1.0,2.0,1.0,,,3.0,8.0,,,3.0,1.0,,57.0
29,"Davey, Alwyn",7,4,9,16,1,1.0,,3.0,1.0,2.0,,,,,2.0,4.0,12.0,,,,1.0,1.0,74.0
2,"Dyson, Ricky",9,2,6,15,,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,5.0,10.0,,,4.0,,1.0,66.0
31,"Fletcher, Dustin",20,7,6,26,,,,1.0,10.0,1.0,,3.0,,1.0,,5.0,15.0,1.0,,7.0,,,100.0
19,"Hille, David",7,5,9,16,1,,17.0,,,4.0,4.0,2.0,2.0,1.0,,10.0,6.0,1.0,,1.0,,1.0,83.0
5,"Hird, James",23,14,2,25,2,1.0,,3.0,6.0,8.0,,1.0,1.0,,1.0,6.0,19.0,3.0,4.0,,,2.0,86.0
43,"Houli, Bachar",6,8,8,14,2,1.0,,1.0,,3.0,,3.0,,,,1.0,13.0,,2.0,1.0,,,60.0
14,"Johnson, Jason",12,9,7,19,1,1.0,,,,3.0,2.0,2.0,1.0,,,5.0,14.0,,1.0,1.0,,,71.0
1,"Johnson, Mark",13,7,10,23,,,1.0,,3.0,2.0,,4.0,1.0,3.0,3.0,7.0,15.0,,,5.0,2.0,,100.0
18,"Lloyd, Matthew",16,7,2,18,4,2.0,,2.0,,5.0,,3.0,2.0,1.0,,7.0,11.0,,5.0,,,,97.0
25,"Lucas, Scott",12,7,2,14,1,,,,2.0,4.0,,8.0,,2.0,,7.0,8.0,1.0,,,,,96.0
33,"McPhee, Adam",9,4,10,19,,1.0,1.0,2.0,2.0,5.0,,,,,,6.0,13.0,1.0,1.0,2.0,,1.0,88.0
10,"McVeigh, Mark",15,10,6,21,2,3.0,,4.0,1.0,4.0,2.0,1.0,2.0,,,5.0,16.0,,5.0,2.0,,2.0,85.0
22,"Michael, Mal",6,1,4,10,,,,3.0,3.0,,,2.0,1.0,1.0,,2.0,7.0,,,5.0,,,100.0
6,"Monfries, Angus",14,9,3,17,2,1.0,,2.0,1.0,5.0,1.0,1.0,3.0,1.0,,5.0,12.0,1.0,4.0,,,,77.0
11,"Peverill, Damien",8,6,4,12,,1.0,,3.0,,2.0,,2.0,,2.0,,1.0,11.0,,,1.0,,,63.0
30,"Ryder, Paddy",5,6,7,12,,,3.0,3.0,2.0,1.0,1.0,3.0,,3.0,,9.0,4.0,2.0,,8.0,,1.0,96.0
20,"Slattery, Henry",6,4,3,9,,1.0,,5.0,4.0,1.0,,1.0,,1.0,,2.0,7.0,,,2.0,,,82.0
24,"Stanton, Brent",13,8,8,21,1,1.0,,3.0,1.0,,,,,,,5.0,15.0,2.0,1.0,2.0,,,92.0
4,"Watson, Jobe",11,6,18,29,1,,,2.0,1.0,3.0,5.0,3.0,,1.0,,10.0,19.0,,,,1.0,,66.0
8,"Winderlich, Jason",11,8,8,19,,,,4.0,3.0,2.0,2.0,1.0,1.0,,,4.0,15.0,,,1.0,1.0,2.0,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,234,137,150,384,18,19.0,22.0,44.0,45.0,58.0,21.0,44.0,16.0,18.0,6.0,111.0,266.0,12.0,23.0,45.0,6.0,12.0,
Opposition,Opposition,219,133,146,365,8,15.0,24.0,43.0,36.0,58.0,29.0,49.0,18.0,16.0,,99.0,265.0,3.0,10.0,55.0,22.0,5.0,
