Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
23,"Bode, Matthew",20y 60d,22 (10-0-12 45.45%),15 (0.68),←,
5,"Bond, Shane",24y 50d,88 (49-1-38 56.25%),31 (0.35),54 (25-1-28 47.22%),11 (0.20)
3,"Breuer, Shayne",26y 352d,124 (71-3-50 58.47%),106 (0.85),53 (25-2-26 49.06%),29 (0.55)
7,"Chalmers, Brett",26y 127d,74 (32-1-41 43.92%),20 (0.27),24 (12-0-12 50.00%),12 (0.50)
12,"Cockatoo-Collins, Che",24y 176d,96 (54-3-39 57.81%),132 (1.38),11 (7-0-4 63.64%),23 (2.09)
28,"Daniels, Stephen",22y 359d,43 (20-2-21 48.84%),2 (0.05),←,
37,"Dew, Stuart",20y 10d,38 (17-1-20 46.05%),35 (0.92),←,
11,"Eagleton, Nathan",20y 291d,55 (26-2-27 49.09%),45 (0.82),←,
8,"Francis, Fabian",25y 308d,62 (28-1-33 45.97%),27 (0.44),39 (21-1-17 55.13%),10 (0.26)
10,"Francou, Josh",25y 21d,63 (29-2-32 47.62%),38 (0.60),←,
18,"Harwood, Mark",21y 142d,19 (9-1-9 50.00%),9 (0.47),←,
38,"James, Roger",23y 311d,32 (16-1-15 51.56%),14 (0.44),←,
29,"Kingsley, Adam",24y 8d,56 (28-1-27 50.89%),15 (0.27),←,
20,"Lade, Brendon",23y 49d,64 (30-2-32 48.44%),44 (0.69),←,
22,"Lockwood, Bowen",21y 58d,36 (15-1-20 43.06%),30 (0.83),←,
9,"Lyle, Brayden",26y 175d,85 (43-2-40 51.76%),14 (0.16),59 (29-2-28 50.85%),9 (0.15)
33,"Mead, Darren",28y 152d,65 (31-2-32 49.23%),5 (0.08),←,
14,"Paxman, Stephen",28y 267d,164 (52-1-111 32.01%),23 (0.14),62 (30-1-31 49.19%),5 (0.08)
6,"Schofield, Jarrad",24y 210d,83 (49-0-34 59.04%),52 (0.63),20 (10-0-10 50.00%),18 (0.90)
36,"Stevens, Nick",19y 237d,39 (19-1-19 50.00%),23 (0.59),←,
1,"Wanganeen, Gavin",26y 71d,177 (98-5-74 56.78%),90 (0.51),50 (25-2-23 52.00%),27 (0.54)
15,"Wilson, Michael",22y 280d,65 (31-2-32 49.23%),24 (0.37),←,
Totals,Totals,23y 351d,1550 (757-35-758 48.84%),794 (0.51),,
C,"Williams, Mark",41y 7d,22 (12-0-10 54.55%),,←,
