Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
44,"Buckley, Jack",22y 276d,2 (0-0-2 0.00%),,←,
18,"Cameron, Jeremy",27y 170d,171 (77-3-91 45.91%),427 (2.50),←,
3,"Coniglio, Stephen",26y 278d,149 (70-1-78 47.32%),83 (0.56),←,
13,"Cumming, Isaac",22y 38d,10 (5-0-5 50.00%),,←,
16,"Daniels, Brent",21y 193d,49 (29-0-20 59.18%),20 (0.41),←,
31,"Finlayson, Jeremy",24y 222d,53 (29-2-22 56.60%),67 (1.26),←,
12,"Green, Tom",19y 239d,6 (3-0-3 50.00%),1 (0.17),←,
4,"Greene, Toby",26y 359d,158 (72-1-85 45.89%),183 (1.16),←,
19,"Haynes, Nick",28y 123d,145 (71-3-71 50.00%),9 (0.06),←,
2,"Hopper, Jacob",23y 225d,84 (51-1-32 61.31%),30 (0.36),←,
39,"Idun, Connor",20y 51d,3 (1-0-2 33.33%),,←,
25,"Keeffe, Lachlan",30y 157d,71 (40-0-31 56.34%),14 (0.20),31 (15-0-16 48.39%),7 (0.23)
22,"Kelly, Josh",25y 219d,132 (74-2-56 56.82%),82 (0.62),←,
38,"Lloyd, Daniel",28y 213d,51 (28-3-20 57.84%),38 (0.75),←,
41,"Mumford, Shane",34y 75d,202 (130-4-68 65.35%),53 (0.26),102 (61-2-39 60.78%),14 (0.14)
36,"Perryman, Harry",21y 274d,52 (27-1-24 52.88%),15 (0.29),←,
50,"Reid, Sam",30y 316d,93 (51-3-39 56.45%),29 (0.31),83 (45-3-35 56.02%),28 (0.34)
26,"Riccardi, Jake",20y 316d,5 (2-0-3 40.00%),9 (1.80),←,
23,"Shaw, Heath",34y 296d,325 (196-5-124 61.08%),42 (0.13),152 (86-3-63 57.57%),5 (0.03)
14,"Taranto, Tim",22y 234d,74 (44-1-29 60.14%),28 (0.38),←,
6,"Whitfield, Lachie",26y 62d,150 (73-3-74 49.67%),61 (0.41),←,
29,"Williams, Zac",25y 364d,113 (59-0-54 52.21%),27 (0.24),←,
Totals,Totals,25y 263d,2098 (1132-33-933 53.96%),1218 (0.58),,
C,"Cameron, Leon",48y 16d,160 (87-3-70 55.31%),,←,
